competency_cluster,lt_id,lt_name,knowledge_type,stability,gate_passed,gate_failures,competent_framing_flag,competent_framing_judge_rationale,propositional_thin_flag,no_evidence,emerging,developing,competent,extending,prerequisite_edges,diagnostic
cluster_10: Analysing Arguments and Sources,cluster_10_lt_02,Connecting Arguments to Political Frameworks,Type 2,rubric_unstable,FAIL,observable_verb,pass,"The descriptor declares independent capability to explain connections between arguments and political frameworks at the level demanded by the LT, with no hedging language or implication of incompleteness.",False,No attempt to connect argument to political framework.,"With support, identifies a framework but explanation of connection is unclear or incomplete.",Independently connects argument to a framework but reasoning lacks depth or precision.,"Independently explains how an argument or perspective relates to relevant political principles, institutions, processes, policies, or behaviors.",Connects argument to multiple frameworks or explains how competing frameworks illuminate different dimensions of the argument.,cluster_10_lt_01 [ontological_prerequisite/high] Cannot connect an argument to frameworks without first identifying what the argument is.; cluster_09_lt_01 [ontological_prerequisite/high] Must recognize political principles and institutions in order to connect arguments to them.; cluster_09_lt_02 [pedagogical_sequencing/medium] Describing how frameworks operate in context builds fluency needed to explain argument-framework relationships.,
cluster_11: Applying Concepts to Scenarios,cluster_11_lt_01,Identifying Political Concepts in Scenarios,Type 1,stable,PASS,,pass,"The descriptor declares independent identification of multiple relevant political concepts without hedging language, incompleteness markers, or framing Competent as a stepping stone to Extending.",True,No attempt to identify political concepts in the scenario.,"With support, names one or two concepts but misidentifies their relevance or accuracy.",Independently identifies some relevant concepts but misses others or fails to connect them fully.,"Independently identifies multiple relevant political principles, institutions, processes, or policies in the scenario.",Identifies concepts and explains how they interact or relate to one another within the scenario.,cluster_09_lt_01 [ontological_prerequisite/high] cluster_09_lt_01 requires identifying political concepts across scenarios; cluster_11_lt_01 applies that same identification skill to specific given scenarios.,
cluster_12: Constructing and Supporting Arguments,cluster_12_lt_01,Articulating Defensible Claims,Type 2,rubric_unstable,FAIL,observable_verb,pass,"The descriptor declares the capability as demonstrated ('Articulates') at the target level without hedging, incompleteness language, or framing Competent as a stepping stone to Extending.",False,No attempt to articulate a claim or thesis.,States a fact or topic with heavy support; claim lacks defensibility or reasoning.,Articulates a claim independently but it remains largely factual or lacks clear argumentative stance.,Articulates a defensible claim or thesis that moves beyond facts and takes a clear argumentative position.,"Articulates a nuanced, defensible claim that anticipates counterarguments or integrates multiple perspectives.",cluster_10_lt_01 [pedagogical_sequencing/medium] Identifying arguments in sources builds foundational skill for constructing one's own defensible claim.; cluster_09_lt_02 [pedagogical_sequencing/medium] Describing how political principles operate in context develops reasoning capacity needed to support a defensible claim.,
cluster_13: Understanding Governmental Terminology,cluster_13_lt_01,Defining Core Governmental Roles and Status,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated independently at the LT's level of demand without hedging language, incompleteness markers, or positioning it as a way-station to Extending.",False,No attempt to identify or explain governmental terms.,"With support, identifies some governmental terms but explanations are incomplete or inaccurate.",Independently identifies and explains most core governmental terms but misses nuance in some definitions.,Identifies and explains core governmental terms related to citizenship and participation accurately and independently.,Applies governmental terminology to distinguish roles and relationships across multiple political contexts.,,
cluster_13: Understanding Governmental Terminology,cluster_13_lt_02,Analyzing Supreme Court Case Components,Type 1,rubric_unstable,FAIL,single_construct,pass,"The descriptor declares independent capability to identify and distinguish all required components without hedging language, implying the learning target is met.",True,No attempt to identify Supreme Court case components.,"With support, identifies some case components but with significant inaccuracies or omissions.",Independently identifies most case components but may conflate or incompletely explain one or two elements.,"Independently identifies and distinguishes facts, issue, holding, reasoning, decision, and majority opinion in landmark Supreme Court cases.",Identifies case components and explains how they relate to broader constitutional principles or precedent.,cluster_13_lt_01 [ontological_prerequisite/high] Understanding governmental terminology and definitions is foundational to identifying and naming the formal components of Supreme Court cases.; cluster_06_lt_01 [pedagogical_sequencing/medium] Understanding separation of powers and checks provides context for why Supreme Court cases arise and what constitutional issues they address.,
---,,,,,,,,,,,,,,,,
cluster_02: Models of Representative Democracy,cluster_02_lt_02,Applying Democracy Models to U.S. Institutions,Type 1,HALTED,,,,,,,,,,,,rubric_unreliable: only 0/3 runs produced parseable output
cluster_03: Federalist and Anti-Federalist Perspectives,cluster_03_lt_01,Explaining Federalist Views on Central Government,Type 1,HALTED,,,,,,,,,,,,"rubric_unreliable: no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'analyse'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'scoped'))]"
cluster_03: Federalist and Anti-Federalist Perspectives,cluster_03_lt_02,Explaining Anti-Federalist Views on Democracy,Type 1,HALTED,,,,,,,,,,,,"rubric_unreliable: no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'analyse'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'analyse'), ('competent_scope', 'unscoped'))]"
cluster_04: Weaknesses of the Articles of Confederation,cluster_04_lt_03,Reasoning About Federal Power Expansion,Type 2,HALTED,,,,,,,,,,,,"rubric_unreliable: no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'evaluate'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'none'), ('competent', 'within_limit', 'evaluate'), ('extending', 'within_limit', 'evaluate'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'evaluate'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'evaluate'), ('competent', 'within_limit', 'evaluate'), ('extending', 'within_limit', 'evaluate'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'evaluate'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'evaluate'), ('competent', 'within_limit', 'evaluate'), ('extending', 'within_limit', 'evaluate'), ('competent_scope', 'unscoped'))]"
cluster_06: Separation of Powers and Checks and Balances,cluster_06_lt_01,Explaining Separation of Powers and Checks,Type 1,HALTED,,,,,,,,,,,,"rubric_unreliable: no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'unscoped'))]"
cluster_06: Separation of Powers and Checks and Balances,cluster_06_lt_02,Analysing Separation of Powers in Context,Type 2,HALTED,,,,,,,,,,,,rubric_unreliable: only 0/3 runs produced parseable output
cluster_07: Federalism and the Distribution of Power,cluster_07_lt_02,Analyzing Power Distribution Effects on Policy,Type 2,HALTED,,,,,,,,,,,,"rubric_unreliable: no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'describe'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'unscoped'))]"
cluster_08: Contemporary Constitutional Issues,cluster_08_lt_01,Connecting Historical Constitutional Debates to Current Policy,Type 1,HALTED,,,,,,,,,,,,rubric_unreliable: only 0/3 runs produced parseable output
cluster_08: Contemporary Constitutional Issues,cluster_08_lt_02,Analysing Contemporary Issues Through Constitutional Lenses,Type 2,HALTED,,,,,,,,,,,,rubric_unreliable: only 0/3 runs produced parseable output
cluster_11: Applying Concepts to Scenarios,cluster_11_lt_02,Explaining Political Concept Application,Type 2,HALTED,,,,,,,,,,,,"rubric_unreliable: no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'apply'), ('emerging', 'within_limit', 'apply'), ('developing', 'within_limit', 'apply'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'apply'), ('emerging', 'within_limit', 'apply'), ('developing', 'within_limit', 'apply'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'apply'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'scoped'))]"
cluster_12: Constructing and Supporting Arguments,cluster_12_lt_02,Supporting Arguments with Evidence,Type 2,HALTED,,,,,,,,,,,,"rubric_unreliable: no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'none'), ('emerging', 'within_limit', 'none'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'none'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'none'), ('emerging', 'within_limit', 'none'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'unscoped'))]"
