item_id,kud_column,knowledge_type,assessment_route,content,source_block_id,source_excerpt,classification_stability,underspecification_flag,rationale
blk_0217_item_03,know,Type 1,rubric_with_clear_criteria,"Three-Fifths Compromise, which provided a formula for calculating a state's enslaved population for purposes of representation in the House and for taxation",blk_0217,"L487-501: House of Representatives based on each state’s population and the Senate representing each state equally ii. Electoral College, which created a system for electing the president by electors from each state rather than by popular vote or by congressional vote iii. Three-Fifths Compromise, which provided a formula for calculating a state’s enslaved population for purposes of representation in the House and for taxation iv. Postponing until 1808 a decision whether to ban the importation of enslaved persons v. Agreement to add a Bill of Rights to address concerns of the Anti-Federalists",stable,null,Propositional factual content about a specific Constitutional compromise. Assessed via knowledge test or explanation task.
blk_0217_item_04,know,Type 1,rubric_with_clear_criteria,Postponing until 1808 a decision whether to ban the importation of enslaved persons,blk_0217,"L487-501: House of Representatives based on each state’s population and the Senate representing each state equally ii. Electoral College, which created a system for electing the president by electors from each state rather than by popular vote or by congressional vote iii. Three-Fifths Compromise, which provided a formula for calculating a state’s enslaved population for purposes of representation in the House and for taxation iv. Postponing until 1808 a decision whether to ban the importation of enslaved persons v. Agreement to add a Bill of Rights to address concerns of the Anti-Federalists",stable,null,Propositional factual content about a Constitutional provision. Assessed via knowledge test or explanation task.
blk_0217_item_05,know,Type 1,rubric_with_clear_criteria,Agreement to add a Bill of Rights to address concerns of the Anti-Federalists,blk_0217,"L487-501: House of Representatives based on each state’s population and the Senate representing each state equally ii. Electoral College, which created a system for electing the president by electors from each state rather than by popular vote or by congressional vote iii. Three-Fifths Compromise, which provided a formula for calculating a state’s enslaved population for purposes of representation in the House and for taxation iv. Postponing until 1808 a decision whether to ban the importation of enslaved persons v. Agreement to add a Bill of Rights to address concerns of the Anti-Federalists",stable,null,Propositional factual content about the Bill of Rights and its relationship to Anti-Federalist concerns. Assessed via knowledge test or explanation task.
blk_0219_item_01,know,Type 1,rubric_with_clear_criteria,Debates about self-government during the drafting of the Constitution necessitated the drafting of an amendment process in Article V,blk_0219,L503-505: Debates about self-government during the drafting of the Constitution necessitated the drafting of an amendment process in Article,stable,mild,Decision-tree branch 1: This is a propositional/causal claim about how the world works (historical causation). It states a factual relationship between a historical event and a constitutional outcome. The learner must hold this propositional knowledge to understand the origins of the amendment mechanism.
blk_0248_item_01,know,Type 1,rubric_with_clear_criteria,"The specific and separate powers delegated to Congress, the president, and the courts.",blk_0248,"L569-578: Explain the constitutional The specific and separate powers delegated to and Bill Clinton principles of separation of Congress, the president, and the courts allow § Congressional powers and checks and each branch to check and balance the power response to the Obama balances. of the other branches, ensuring no one branch administration’s becomes too powerful.",stable,null,Propositional factual content about the distribution of constitutional powers. This is foundational knowledge that must be held before understanding how checks and balances operate. Decision tree branch 1: hard prerequisite sequence.
blk_0261_item_01,know,Type 1,rubric_with_clear_criteria,Impeachment is the process by which the House formally charges an official with abuse of power or misconduct.,blk_0261,L599-604: Those legal actions include the process of impeachment (the House formally charges an official with abuse of power or misconduct) and removal (if the official is convicted in a Senate impeachment trial). |,stable,null,"Decision tree branch 1: This is propositional knowledge with a fixed definition. It is a factual concept that must be understood before engaging with related procedural or analytical content about legal accountability mechanisms. No prerequisite chain is stated within the block, but the definition itself is hierarchical—the term has a specific meaning that must be known."
blk_0261_item_02,know,Type 1,rubric_with_clear_criteria,Removal is the outcome if an official is convicted in a Senate impeachment trial.,blk_0261,L599-604: Those legal actions include the process of impeachment (the House formally charges an official with abuse of power or misconduct) and removal (if the official is convicted in a Senate impeachment trial). |,stable,null,Decision tree branch 1: This is propositional knowledge describing a factual consequence within the legal process. It is a discrete concept that must be known as part of understanding the impeachment and removal framework.
blk_0285_item_01,know,Type 1,rubric_with_clear_criteria,"In Colorado and Washington (2012), exclusive power is held by only one level of government and includes enumerated powers",blk_0285,L652-654: Exclusive power is held by only one level of in Colorado and Washington (2012) government and includes enumerated powers,stable,mild,"Decision-tree branch 1: This is a propositional factual claim about how power is distributed in specific state governments. It describes a concept (exclusive power, enumerated powers) that must be understood as a prerequisite to analysing federalism or state-level governance structures. It is not occasion-triggered reasoning (Type 2) nor a sustained orientation (Type 3)."
blk_0289_item_01,know,Type 1,rubric_with_clear_criteria,The Necessary and Proper Clause,blk_0289,L663: Necessary and Proper Clause.,stable,mild,"Step 0, branch 1: This is a named constitutional concept — propositional knowledge with a fixed definition. It is a foundational fact in U.S. constitutional law that learners must hold in order to understand later content about federal powers and constitutional interpretation. No prerequisite sequence is stated in the source, but the concept itself is hierarchical knowledge (Type 1)."
blk_0293_item_01,know,Type 1,rubric_with_clear_criteria,"Reserved powers are those not delegated or enumerated to the national government but are reserved to the states, as stated in the Tenth Amendment.",blk_0293,"L668-671: Reserved powers are those not delegated or enumerated to the national government but are reserved to the states, as stated in the Tenth Amendment.",stable,null,"This is a definitional claim about a constitutional concept. It states what reserved powers are and where they are established in law. This is propositional knowledge with a fixed, canonical meaning that must be understood before engaging with related federalism content. Decision tree branch 1: hard prerequisite sequence in constitutional hierarchy."
blk_0295_item_01,know,Type 1,rubric_with_clear_criteria,"Concurrent powers are shared between both levels of government such as the power to collect taxes, the power to make and enforce laws and the power to build roads.",blk_0295,"L673-676: Concurrent powers are shared between both levels of government such as the power to collect taxes, the power to make and enforce laws and the power to build roads.",stable,null,This is a propositional claim about how governmental authority is distributed. It states a factual concept (concurrent powers) and provides specific examples of powers that fall into this category. This is hierarchical knowledge — understanding concurrent powers is foundational to understanding how federalism operates and how different levels of government interact. It can be assessed through knowledge checks or explanation tasks.
blk_0297_item_01,know,Type 1,rubric_with_clear_criteria,"Revenue sharing is a form of funding in which the national government provides funding to states with almost no restrictions on its use, and is the least used form of funding.",blk_0297,L678-684: The distribution of power between national and state governments is demonstrated by: i. Revenue sharing (national funding with almost no restrictions to the states on its use and is the least used form of funding) continued on next page |,stable,null,"This is a propositional claim about a factual mechanism of government structure. It describes what revenue sharing is, how it operates, and its relative frequency of use — factual content that must be known and understood as part of understanding the distribution of power between national and state governments. Decision tree branch 1: hard prerequisite sequence exists (understanding revenue sharing is foundational to understanding federalism and power distribution)."
blk_0304_item_01,know,Type 1,rubric_with_clear_criteria,Block grants are national funding with minimal restrictions to the states on its use.,blk_0304,L694-695: ii. Block grants (national funding with minimal restrictions to the states on its use and is,stable,mild,Step 0.1: This is a propositional definition — a factual claim about what block grants are and how they function. It is a concept that must be understood before reasoning about funding mechanisms or policy trade-offs. Routed to Type 1 (hierarchical knowledge) and assessed via knowledge check or definition task.
blk_0306_item_01,know,Type 1,rubric_with_clear_criteria,Expenditures are a form of funding preferred by the national government and the most commonly used form of funding.,blk_0306,"L704-709: expenditures, is preferred by the national government, and is the most commonly used form of funding) iv. Mandates (requirements by the national government of the states) |",stable,mild,Decision tree branch 1: propositional factual claim about how funding systems work. This is declarative knowledge about a category and its characteristics.
blk_0306_item_02,know,Type 1,rubric_with_clear_criteria,Mandates are requirements imposed by the national government on the states.,blk_0306,"L704-709: expenditures, is preferred by the national government, and is the most commonly used form of funding) iv. Mandates (requirements by the national government of the states) |",stable,mild,Decision tree branch 1: propositional factual claim defining a category of government action. This is declarative knowledge about a governance mechanism.
blk_0347_item_01,know,Type 1,rubric_with_clear_criteria,The Supremacy Clause gives the national government and its laws general precedence over states' laws.,blk_0347,"L784-792: The Supremacy Clause gives the national Federalism, the Commerce Clause, government and its laws general precedence and the Tenth over states’ laws, but Supreme Court Amendment interpretations may affect when specific actions exceed this constitutional power. |",stable,mild,Decision-tree branch 1: This is a propositional claim about constitutional hierarchy — a factual concept with a fixed definition that must be understood before reasoning about federalism disputes. It is a foundational fact in the hierarchy of constitutional knowledge.
---,,,,,,,,,
blk_0027_item_01,understand,Type 1,rubric_with_clear_criteria,"Compromises made during the ratification of the U.S. Constitution created ambiguities that continue to fuel debate and discussion over how best to protect liberty, equality, order, and private property.",blk_0027,"L49-53: More than 200 years after the U.S. Constitution was ratified, the compromises that were Constitutionalism necessary for ratification—which in some instances led to ambiguity—continue to fuel debate § and discussion over how best to protect liberty, equality, order, and private property. This",stable,mild,"Decision-tree branch 1: This is a propositional causal claim ('X led to Y'; 'compromises created ambiguities that continue to fuel debate'). It describes factual and conceptual content about constitutional history and the sources of ongoing constitutional interpretation. It is not a prerequisite chain within a single learning target, but rather a foundational conceptual understanding of why constitutional debate persists. Assessed via knowledge check or explanation task demonstrating grasp of the causal relationship between ratification compromises and contemporary constitutional disputes."
blk_0137_item_02,understand,Type 1,rubric_with_clear_criteria,"How separation of powers, checks and balances, federalism, and republicanism interact to ensure the ideal of limited government.",blk_0137,L283-290: The ideal of limited government is ensured by (Declaration of the interaction of these principles: Independence) i. Separation of powers ii. Checks and balances iii. Federalism iv. Republicanism,stable,mild,This is conceptual understanding of causal relationships — how these four principles work together as a system to constrain governmental power. The learner must internalise the transferable idea that limited government is a designed outcome of multiple reinforcing structural mechanisms. Decision tree branch 1: hierarchical knowledge with prerequisite understanding of each principle before understanding their interaction.
blk_0142_item_02,understand,Type 1,rubric_with_clear_criteria,The Philadelphia Convention is an example of a social contract that establishes a system of limited government.,blk_0142,"L298-306: Convention in Philadelphia that was led by George Washington (with important contributions from Hamilton and members of the “Grand Committee”), is an example of a social contract and establishes a system of limited government. The Constitution provides the blueprint for a unique form of democratic government in the United States. |",stable,null,Conceptual claim linking the Convention to the political theory of social contract and to the principle of limited government. This is propositional understanding of how the Convention exemplifies and instantiates these concepts. Decision-tree branch 1: foundational concept that must be understood before analysing the Constitution's structure or purpose.
blk_0142_item_03,understand,Type 1,rubric_with_clear_criteria,The Constitution provides the blueprint for a unique form of democratic government in the United States.,blk_0142,"L298-306: Convention in Philadelphia that was led by George Washington (with important contributions from Hamilton and members of the “Grand Committee”), is an example of a social contract and establishes a system of limited government. The Constitution provides the blueprint for a unique form of democratic government in the United States. |",stable,null,Propositional claim about the role and nature of the Constitution as a foundational document. This is conceptual understanding of the Constitution's function and its distinctiveness. Decision-tree branch 1: core concept that structures understanding of American government.
blk_0201_item_02,understand,Type 1,rubric_with_clear_criteria,"The relationship between specific incidents (such as Shays' Rebellion) and legal challenges, and the key provisions of the Articles of Confederation that proved inadequate to address them.",blk_0201,"L439-450: Explain the relationship Specific incidents and legal challenges that (Articles of between key provisions of highlighted key weaknesses of the Articles of Confederation) the Articles of Confederation, Confederation are represented by the: and the debate over granting i. Lack of centralized military power to the federal government address Shays’ Rebellion greater power formerly ii. Lack of an executive branch to enforce reserved to the states.",classification_unstable,mild,Decision tree branch 1: This is conceptual understanding of causal and structural relationships within a historical document and historical events. It builds on knowledge of the specific weaknesses and requires understanding how provisions connect to real-world failures. Type 1 understand.
blk_0231_item_01,understand,Type 1,rubric_with_clear_criteria,"The debate over the role of the national government, the powers of state governments, and the rights of individuals remains at the heart of present-day constitutional issues about democracy and governmental power.",blk_0231,"L527-538: The debate over the role of the national government, the powers of state governments, and the rights of individuals remains at the heart of present-day constitutional issues about democracy and governmental power, as represented by: i. Debates about government surveillance resulting from the federal government’s response to the 9/11 attacks ii. Debates about the role of government in public school education |",classification_unstable,null,This is a propositional claim about how the constitutional system works and what tensions animate it. It describes a conceptual relationship (the centrality of this three-way tension to constitutional governance) that learners must internalise as foundational understanding. Decision tree: Step 1 applies — this is hierarchical knowledge about the structure of constitutional governance that must be understood before analysing specific policy debates.
blk_0248_item_02,understand,Type 1,rubric_with_clear_criteria,"The constitutional principles of separation of powers and checks and balances: each branch can check and balance the power of the other branches, ensuring no one branch becomes too powerful.",blk_0248,"L569-578: Explain the constitutional The specific and separate powers delegated to and Bill Clinton principles of separation of Congress, the president, and the courts allow § Congressional powers and checks and each branch to check and balance the power response to the Obama balances. of the other branches, ensuring no one branch administration’s becomes too powerful.",stable,null,Conceptual understanding of how the three branches interact through a system of mutual constraint. This is a transferable principle that builds on knowledge of the separate powers. Decision tree branch 1: hierarchical knowledge with prerequisite structure.
blk_0255_item_01,understand,Type 1,rubric_with_clear_criteria,"Checks and balances control potential abuses by majorities, as explained in Federalist No. 51.",blk_0255,L587-589: Analytical Reading and balances control potential abuses by (Federalist No. 51) majorities.,classification_unstable,mild,"Decision-tree branch 1: This is a propositional claim about how a political mechanism works (X affects Y / X is fundamental to Y). It is a factual or conceptual understanding to be internalised, not a sustained orientation or occasion-triggered analytical skill. Assessed via knowledge test or explanation task with clear criteria."
blk_0257_item_01,understand,Type 1,rubric_with_clear_criteria,Separation of powers and checks and balances create multiple access points for stakeholders and institutions to influence public policy.,blk_0257,L591-593: Explain the effects of Separation of powers and checks and balances separation of powers and creates multiple access points for stakeholders checks and balances for the and institutions to influence public policy.,classification_unstable,mild,"This is a propositional claim about how a political system works (causal relationship: these mechanisms → multiple access points → policy influence). It is factual/conceptual knowledge that learners must hold and be able to explain. Decision tree branch 1: hard prerequisite sequence exists (understanding separation of powers and checks and balances precedes understanding their effects on stakeholder access). Type 1, assessed via rubric with clear criteria."
blk_0260_item_01,understand,Type 1,rubric_with_clear_criteria,Checks and balances and separation of powers allow legal actions to be taken against public officials deemed to have abused their power.,blk_0260,L596-598: Checks and balances and separation of powers allow legal actions to be taken against public officials deemed to have abused their power.,stable,null,"This is a propositional claim about how a political system works — a causal relationship between institutional structures (checks, balances, separation of powers) and an outcome (legal accountability for abuse of power). It describes conceptual knowledge that must be understood as a foundation for further study of governance and constitutional law. Decision-tree branch 1: hard prerequisite sequence exists; this concept is foundational to understanding how democracies constrain executive power."
blk_0297_item_02,understand,Type 1,rubric_with_clear_criteria,Revenue sharing demonstrates the distribution of power between national and state governments.,blk_0297,L678-684: The distribution of power between national and state governments is demonstrated by: i. Revenue sharing (national funding with almost no restrictions to the states on its use and is the least used form of funding) continued on next page |,stable,null,This is a conceptual claim about how a specific funding mechanism exemplifies a broader principle of federalism. It requires understanding the relationship between the mechanism (revenue sharing) and the concept it demonstrates (power distribution). Decision tree branch 1: this is hierarchical conceptual knowledge that builds understanding of federalism.
blk_0343_item_01,understand,Type 1,rubric_with_clear_criteria,Supreme Court interpretations can influence the extent of constitutional powers.,blk_0343,L777-779: Supreme Court interpretations can influence (The Tenth the extent of these powers.,stable,mild,"Decision-tree branch 1: This is a propositional causal claim ('X affects Y') stating how the world works — specifically, that Supreme Court interpretation has a causal relationship to the scope of powers. It is a concept to be understood, not an occasion-triggered skill or sustained orientation. Type 1 propositional knowledge assessed via explanation or knowledge check."
blk_0347_item_02,understand,Type 1,rubric_with_clear_criteria,"Supreme Court interpretations may affect when specific actions exceed the constitutional power granted to the national government under the Supremacy Clause and the Commerce Clause, and the Tenth Amendment constrains that power.",blk_0347,"L784-792: The Supremacy Clause gives the national Federalism, the Commerce Clause, government and its laws general precedence and the Tenth over states’ laws, but Supreme Court Amendment interpretations may affect when specific actions exceed this constitutional power. |",stable,mild,"Decision-tree branch 1: This is a propositional claim about how constitutional doctrine operates — the relationship between the Supremacy Clause, Commerce Clause, Tenth Amendment, and judicial interpretation. It requires understanding of how these elements interact to define the scope of federal power. It is a conceptual relationship that builds on knowledge of the individual clauses."
blk_0361_item_01,understand,Type 1,rubric_with_clear_criteria,The allocation of powers between national and state governments creates multiple access points for stakeholders and institutions to influence public policy.,blk_0361,L817-820: Explain how the distribution The allocation of powers between national and of powers between national state governments creates multiple access and state governments points for stakeholders and institutions to impacts policymaking. influence public policy.,stable,null,This is a propositional claim about how a structural feature of government (federalism / separation of powers) produces a causal effect on policymaking access. It is a conceptual understanding of a foundational political system principle that learners must internalise. Decision-tree branch 1: this is hierarchical knowledge — understanding how federalism structures policy influence is prerequisite to analysing specific policy cases or federalism's effects.
blk_0363_item_01,understand,Type 1,rubric_with_clear_criteria,National policymaking is constrained by the sharing of concurrent powers with state governments.,blk_0363,L822-825: National policymaking is constrained by the sharing of concurrent powers with state governments. |,stable,null,"This is a propositional claim about how the political system works — a causal relationship (sharing of concurrent powers constrains national policymaking). It describes a structural fact about federalism that learners must understand conceptually. Decision tree branch 1: hard prerequisite sequence exists (understanding federalism and concurrent powers precedes understanding their constraining effect on national policy). Type 1 content, assessable via knowledge test or explanation task."
---,,,,,,,,,
blk_0053_item_01,do_skill,Type 2,reasoning_quality_rubric,"Construct written arguments that take a position beyond simply stating facts, incorporating claims that are supported by additional information that sets up the evidence.",blk_0053,"L118-127: In their arguments, students should write of the question. Have students practice by claims that take a position, going beyond asking them to explain the steps, stages, simply stating facts. Claims should also and interactions of processes; explain include additional information that sets and link causes and effects; or explain the up the evidence. This is usually developed significance of similarities and differences.",classification_unstable,moderate,"This describes an occasion-triggered analytical skill: when writing an argument, the student deploys the capability to move beyond factual restatement and build evidential support. The quality of reasoning (depth of claim-evidence integration) determines assessment outcome. Decision tree branch 2: analytical capability across multiple reasoning moves (claim formation, evidence selection, support structure)."
blk_0053_item_02,do_skill,Type 2,reasoning_quality_rubric,"Explain causes and effects in arguments, and explain the significance of similarities and differences between phenomena or processes.",blk_0053,"L118-127: In their arguments, students should write of the question. Have students practice by claims that take a position, going beyond asking them to explain the steps, stages, simply stating facts. Claims should also and interactions of processes; explain include additional information that sets and link causes and effects; or explain the up the evidence. This is usually developed significance of similarities and differences.",classification_unstable,moderate,"This describes occasion-triggered analytical skills deployed when constructing causal or comparative reasoning within arguments. The learner must reason across multiple interpretive moves (causal chains, comparative significance). Assessment is by reasoning quality rubric applied to written or oral explanation. Decision tree branch 2: analytical capability across multiple lenses (causal and comparative frameworks)."
blk_0063_item_02,do_skill,Type 2,reasoning_quality_rubric,"Describe political principles, institutions, processes, policies, and behaviors illustrated in different scenarios in context",blk_0063,"L141-142: Describe political principles, institutions, processes, policies, and behaviors illustrated in different scenarios in context.",classification_unstable,mild,"Decision-tree branch 2: the source names an analytical capability deployed when scenarios are presented. The quality of description depends on reasoning sophistication and contextual reasoning, not on a single correct answer. Transfer across different scenarios is the test."
blk_0071_item_01,do_skill,Type 2,reasoning_quality_rubric,"Explain how an argument or perspective in a source relates to Confederation political principles, institutions, processes, policies, and behaviors.",blk_0071,"L155-157: Explain how the argument or perspective in the source relates to Confederation political principles, institutions, processes, policies, and behaviors.",stable,mild,"This describes an analytical reasoning capability deployed when a source and Confederation context are presented. The learner must evaluate a source through multiple disciplinary lenses (principles, institutions, processes, policies, behaviors) and construct a reasoned explanation of the relationship. This is occasion-triggered (activated when a source analysis task arises), not a sustained default orientation, and requires reasoning quality assessment rather than a single correct answer. Decision-tree branch 2: analytical reasoning across multiple lenses."
blk_0074_item_01,do_skill,Type 2,reasoning_quality_rubric,"Explain how political principles, institutions, processes, policies, and behaviors apply to different scenarios in context.",blk_0074,"L160-161: Explain how political principles, institutions, processes, policies, and behaviors apply to different scenarios in context.",stable,mild,"This describes an analytical capability deployed when a scenario is presented. The learner must reason across multiple lenses (principles, institutions, processes, policies, behaviours) to construct an explanation of how they operate in a specific context. This is occasion-triggered (activated by a scenario prompt) and reasoning quality determines assessment outcome. Type 2, do_skill."
blk_0077_item_01,do_skill,Type 2,reasoning_quality_rubric,"Explain how the argument or perspective in the source relates to political principles, institutions, processes, policies, and behaviors.",blk_0077,"L164-165: Explain how the argument or perspective in the source relates to political principles, institutions, processes, policies, and behaviors.",stable,mild,"This describes an analytical capability deployed when a source and political context are presented. The learner must reason across multiple disciplinary lenses (principles, institutions, processes, policies, behaviors) to construct a relational explanation. The quality of the explanation depends on reasoning sophistication, not on recall of a single correct answer. This is occasion-triggered (when a source is given) and reasoning-centered, not a sustained default orientation. Type 2 do_skill assessed via reasoning_quality_rubric."
blk_0080_item_01,do_skill,Type 2,reasoning_quality_rubric,Articulate a defensible claim or thesis.,blk_0080,L168: Articulate a defensible claim/thesis.,stable,mild,"This describes an analytical capability deployed when a situation calls for it (when a learner must construct and defend a position). The quality of the articulation depends on reasoning quality—the strength of evidence, logical coherence, and acknowledgment of counterarguments—not on a single correct answer. This is occasion-triggered reasoning skill, not a sustained orientation or propositional fact."
