real_band,real_lt_id,real_content,framework,external_content,source_label,confidence
C,lt_1_1_band_c,"""I can apply a chosen strategy in a challenging situation and reflect on how well it worked."" (LT 1.1)",Circle Solutions,"""I can evaluate different anger management strategies and justify which option is most appropriate."" (Anger Management Decision Making) / ""I can identify emotional vocabulary and explain how thinking strategies affect feelings."" (Emotional Vocabulary and Thinking Strategies)",Year 6 (Band C) v2,high
C,lt_1_2_band_c,"""I can notice what others say and do in a group, check in when I'm unsure, and adjust my actions to match their stated needs or boundaries."" (LT 1.2)",Welsh CfW H&W,"""I can empathise with others""",Progression Step 3,high
C,lt_1_2_band_c,"""I can notice what others say and do in a group, check in when I'm unsure, and adjust my actions to match their stated needs or boundaries."" (LT 1.2)",CASEL SEL,"""I can explain different backgrounds, cultures, and perspectives while demonstrating respect and empathy""",Grade Band 4-5 (Band C),high
C,lt_1_2_band_c,"""I can notice what others say and do in a group, check in when I'm unsure, and adjust my actions to match their stated needs or boundaries."" (LT 1.2)",Circle Solutions,"""I can explain what emotions someone might experience in different life situations."" (Inferring Emotions from Situations) / ""I can identify emotions by interpreting voice tone, body language, and facial expressions."" (Reading Nonverbal Emotional Cues)",Year 6 (Band C) v2,high
C,lt_4_1_band_c,"""I can apply consent skills in non-sexual and online contexts and state my boundaries clearly to peers."" (LT 4.1)",UK DfE Statutory RSHE,"""That people should be respectful in online interactions, and that the same principles apply to online relationships as to face-to-face relationships, including where people are anonymous""",End of Primary,apparent-only (REAL frames as a practised skill; RSHE frames as a propositional norm. Same domain — online ethics — different epistemic stance.)
C,lt_3_2_band_c,"""I can make a self-care plan that works at home and school and list trusted people or services for support."" (LT 3.2)",Welsh CfW H&W,"""I can ask for help when I need it from people I trust""",Progression Step 3,high
C,lt_2_2_band_c,"""I can compare multiple options, state my choice, and give a reason based on my values."" (LT 2.2)",Welsh CfW H&W,"""I can make considered decisions, taking into account available information, including past experiences""",Progression Step 3,"apparent-only (REAL explicitly anchors choice in personal values; CfW frames as evidence-informed decision-making. Related construct, different epistemology.)"
C,lt_2_2_band_c,"""I can compare multiple options, state my choice, and give a reason based on my values."" (LT 2.2)",CASEL SEL,"""I can analyze decision-making situations by identifying what is within my control and what factors are most important"" / ""I can reflect on my behaviors and choices to identify their effects on myself and others""",Grade Band 4-5 (Band C),high
C,lt_5_1_band_c,"""I can listen in a disagreement without interrupting, choose words that stay respectful, and use a simple repair routine."" (LT 5.1)",UK DfE Statutory RSHE,"""skills for communicating respectfully within relationships and with strangers, including in situations of conflict""",End of Secondary,high
C,lt_5_1_band_c,"""I can listen in a disagreement without interrupting, choose words that stay respectful, and use a simple repair routine."" (LT 5.1)",CASEL SEL,"""I can communicate positively and resolve conflicts using appropriate strategies""",Grade Band 4-5 (Band C),high
C,lt_5_1_band_c,"""I can listen in a disagreement without interrupting, choose words that stay respectful, and use a simple repair routine."" (LT 5.1)",Circle Solutions,"""The student holds a sustained orientation toward balanced participation in conversations through appropriate talking and listening."" (Balanced Conversational Engagement) / ""The student stands up for others who are less able to advocate for themselves."" (Advocating for Others)",Year 6 (Band C) v2,high
C,lt_5_2_band_c,"""I can identify a need in our school, propose a simple project, and complete it with a team."" (LT 5.2)",CASEL SEL,"""I can identify community needs and propose thoughtful solutions for classroom or school-wide problems""",Grade Band 4-5 (Band C),high
C,lt_5_2_band_c,"""I can identify a need in our school, propose a simple project, and complete it with a team."" (LT 5.2)",Circle Solutions,"""The student practises effective collaboration within groups to achieve shared targets."" (Collaborative Group Achievement)",Year 6 (Band C) v2,"apparent-only (REAL frames as community need identification and project completion; CS Year 6 frames as collaborative task achievement. Same setting, different intentionality.)"
C–D,,"""I can use accurate neuroscience vocabulary to explain how stress, emotion, attention, and habit interact as a system..."" (LT 6.1 Band D) / ""I can explain how the amygdala and prefrontal cortex interact..."" (LT 6.1 Band C)",Welsh CfW H&W,"""I can self-regulate my emotions in a healthy way using strategies that I have developed"" / ""I can recognise the benefits of being able to focus attention on my perceptions and thoughts and know that I am developing my self-awareness""",Progression Step 3,apparent-only (CfW addresses self-regulation in experiential terms; REAL teaches the neuroscientific mechanisms underlying it.)
C–D,lt_6_1_band_c-d,"""I can explain how the amygdala and prefrontal cortex interact during a stressful moment..."" (LT 6.1)",Circle Solutions,"""I can explain how the amygdala and mirroring neurons affect emotional responses and provide examples of when this occurs."" (Understanding Brain Functions in Emotion)",Year 9 (Band D/E) v2,"apparent-only (Both address amygdala function and stress response; REAL sequences this at Band C-D, Circle Solutions addresses it at Band D/E equivalent. Same construct, 1-band gap. See Section 2 for sequencing note.)"
D,lt_1_2_band_d,"""I can repair a relationship after conflict by listening, owning my part, and agreeing on a next step that works for both people."" (LT 1.2)",UK DfE Statutory RSHE,"""The role of consent, trust, mutual respect, honesty, kindness, loyalty, shared interests and outlooks, generosity, boundaries, tolerance, privacy, and the management of conflict, reconciliation and ending relationships in romantic relationships""",End of Secondary,apparent-only (REAL frames relationship repair as a practised skill; RSHE frames it as propositional knowledge about the components of healthy relationships.)
D,lt_4_1_band_d,"""I can recognise power or peer-pressure risks, state my refusal and exit plan, and describe how I would support a peer to access help."" (LT 4.1) *(teacher review flag)*",UK DfE Statutory RSHE,"""How inequalities of power can impact behaviour within relationships, including sexual relationships."" / ""Ethical behaviour goes beyond consent and involves kindness, care, attention to the needs and vulnerabilities of the other person, as well as an awareness of power dynamics""",End of Secondary,apparent-only (REAL frames power as something to act on — refusal and exit; RSHE frames it as knowledge to understand.)
D,lt_2_1_band_d,"""I can sustain attention during a challenging task, identify what is pulling it away, and use a deliberate strategy to return."" (LT 2.1)",Welsh CfW H&W,"""I can independently focus attention on my perceptions, thoughts and feelings in order to further develop my self-awareness""",Progression Step 4,high
D,lt_2_2_band_d,"""I can explain the trade-offs in a decision and justify my choice by considering how it affects different people."" (LT 2.2)",Welsh CfW H&W,"""I can research, examine and evaluate a range of evidence to make considered and informed decisions.""",Progression Step 4,apparent-only (REAL is values-and-tradeoff reasoning; CfW emphasises evidence appraisal. Related but different epistemic emphasis.)
D,lt_1_1_band_d,"""I can apply my strategies under stress across different settings, explain what worked and why, and teach one strategy to someone else."" (LT 1.1)",CASEL SEL,"""I can apply coping strategies to regulate my emotions and manage stressful situations"" / ""I can transform challenging situations into positive learning experiences for personal growth""",Grade Band 6-8 (Band D),high
D,lt_1_1_band_d,"""I can apply my strategies under stress across different settings..."" (LT 1.1)",Circle Solutions,"""I can identify multiple emotion regulation strategies and evaluate their advantages and disadvantages."" (Emotional Regulation Strategies) / ""I can reflect on emotional experiences during learning and describe the range of emotions encountered."" (Emotional Reflection and Analysis)",Year 9 (Band D/E) v2,high
D,lt_1_2_band_d,"""I can repair a relationship after conflict by listening, owning my part, and agreeing on a next step that works for both people."" (LT 1.2)",CASEL SEL,"""I can identify different perspectives, ask respectful questions about others' cultures and experiences""",Grade Band 6-8 (Band D),apparent-only (CASEL is perspective-taking; REAL is active relationship repair. Related but REAL is more action-oriented.)
D,lt_1_2_band_d,"""I can repair a relationship after conflict..."" (LT 1.2)",Circle Solutions,"""The student checks on intention before jumping to a negative conclusion in potential conflicts."" (Constructive Conflict Engagement) / ""The student responds positively to attempts to repair harm caused."" (Positive Response to Repair)",Year 9 (Band D/E) v2,high
D,lt_2_2_band_d,"""I can explain the trade-offs in a decision and justify my choice by considering how it affects different people."" (LT 2.2)",CASEL SEL,"""I can apply a structured decision-making model to gather evidence and evaluate possible outcomes"" / ""I can analyze and reflect on how decisions and behaviors affect personal well-being and others""",Grade Band 6-8 (Band D),high
D,lt_5_1_band_d,"""I can state my boundaries clearly, paraphrase before I respond, and choose words that fit the context."" (LT 5.1)",CASEL SEL,"""I can communicate respectfully, give and receive feedback constructively, and apply conflict resolution strategies""",Grade Band 6-8 (Band D),high
D,lt_5_1_band_d,"""I can state my boundaries clearly..."" (LT 5.1)",Circle Solutions,"""I can demonstrate active listening through verbal and non-verbal attention, appropriate responses, and asking for clarification."" (Active Listening Skills) / ""I can identify the short- and long-term outcomes of overt aggression, passive aggression, timidity and appropriate assertiveness."" (Analyzing Assertiveness Outcomes)",Year 9 (Band D/E) v2,high
D,lt_5_2_band_d,"""I can work with a diverse group to address a need, show the impact of our project, and explain why the work matters to me."" (LT 5.2) *(teacher review flag)*",Welsh CfW H&W,"""I can evaluate how my values, attitudes and identity are shaped by the groups and social influences with which I interact.""",Progression Step 4,apparent-only (REAL is community action; CfW is identity-formation through groups.)
D,lt_5_2_band_d,"""I can work with a diverse group to address a need, show the impact of our project, and explain why the work matters to me."" (LT 5.2)",CASEL SEL,"""The student consistently expresses gratitude and actively contributes to school and community well-being""",Grade Band 6-8 (Band D),"apparent-only (CASEL is community orientation disposition; REAL is documented project impact. Same domain, different grain and evidence standard.)"
D,lt_4_1_band_d,"""I can recognise power or peer-pressure risks, state my refusal and exit plan..."" (LT 4.1)",Circle Solutions,"""I can identify the short- and long-term outcomes of overt aggression, passive aggression, timidity and appropriate assertiveness."" (Analyzing Assertiveness Outcomes) / ""I can evaluate potential risks against expected outcomes when making decisions."" (Risk Assessment and Analysis)",Year 9 (Band D/E) v2,"apparent-only (CS frames as outcome-analysis of assertiveness styles and risk assessment; REAL frames as coercion-recognition and exit. Related domain, different epistemic depth.)"
D–E,,"""I can work with a diverse group to address a need, show the impact of our project..."" (LT 5.2 Band D) *(teacher review flag)*",Welsh CfW H&W,"""I can evaluate how my values, attitudes and identity are shaped by the groups and social influences with which I interact.""",Progression Step 4,apparent-only
D–E,,"""I can independently focus attention on my perceptions, thoughts and feelings... sustain my regulation strategies through sustained high-pressure periods"" (LT 1.1 Bands D–E)",Welsh CfW H&W,"""I can identify different strategies to self-regulate my emotions in response to a range of experiences"" / ""I can independently focus attention on my perceptions, thoughts and feelings in order to further develop my self-awareness""",Progression Step 4,high
E,lt_1_1_band_e,"""I can independently sustain my regulation strategies through sustained high-pressure periods, adapt them proactively rather than reactively, and reflect on how my regulation affects others around me."" (LT 1.1) *(draft — teacher review pending)*",Welsh CfW H&W,"""I can apply strategies to self-regulate emotions in a healthy way when situations call for it"" / ""I can self-regulate emotions in a healthy way and connect with others as a sustained orientation""",Progression Step 5,high
E,lt_1_1_band_e,"""I can independently sustain my regulation strategies..."" (LT 1.1) *(draft — teacher review pending)*",CASEL SEL,"""I can recognize complex emotions and explain how events or thoughts prompt emotional responses"" / ""I can regulate emotions by considering consequences and develop goal-oriented plans""",Grade Band 9-10 (Band E),high
E,lt_3_1_band_e,"""I can identify the structural and social factors that affect my access to healthy habits, evaluate health claims using evidence-quality criteria..."" (LT 3.1) *(draft — teacher review pending)*",Welsh CfW H&W,"""I can evaluate the connection between physical and emotional changes, independently selecting from a range of strategies to improve my physical and emotional health and that of others.""",Progression Step 5,apparent-only (REAL addresses structural determinants of health; CfW addresses strategic self-management.)
E,lt_2_2_band_e,"""I can identify the biases and assumptions likely to be affecting my reasoning in a decision..."" (LT 2.2) *(draft — teacher review pending)*",Welsh CfW H&W,"""I can critically evaluate factors and implications, including risks, when making decisions individually and collectively.""",Progression Step 5,high
E,lt_2_2_band_e,"""I can identify the biases and assumptions likely to be affecting my reasoning in a decision..."" (LT 2.2) *(draft — teacher review pending)*",CASEL SEL,"""I can apply a structured decision-making process by gathering evidence, identifying biases, and evaluating options systematically"" / ""I can analyze the impact of decisions on well-being and relationships while considering ethical implications""",Grade Band 9-10 (Band E),high
E,lt_1_2_band_e,"""I can facilitate repair in a group setting, naming the group dynamics that contributed to conflict..."" (LT 1.2) *(draft — teacher review pending)*",CASEL SEL,"""I can develop collaboration strategies, provide constructive feedback, and communicate effectively under pressure""",Grade Band 9-10 (Band E),"apparent-only (CASEL is collaborative communication under pressure; REAL is group-level conflict repair and power analysis. Same setting, different depth of systemic analysis.)"
E,lt_5_1_band_e,"""I can facilitate a structured conversation in a group setting where people disagree..."" (LT 5.1) *(draft — teacher review pending)*",CASEL SEL,"""I can demonstrate personal responsibility in resolving conflicts and identify appropriate support resources""",Grade Band 9-10 (Band E),apparent-only (CASEL is personal responsibility in conflict; REAL is group facilitation capacity. Related but REAL operates at a higher systemic level.)
E–F,,"""I can lead a sustained initiative that addresses a real community need..."" (LT 5.2 Band E) *(draft — teacher review pending)*",Welsh CfW H&W,"""I can interact pro-socially in different groups and situations, and actively advocate for other individuals and groups.""",Progression Step 5,high
E–F,,"""I can facilitate repair in a group setting, naming the group dynamics that contributed to conflict..."" (LT 1.2 Band E) *(draft — teacher review pending)*",Welsh CfW H&W,"""I can empathise with others which helps me to be compassionate and kind towards myself and others.""",Progression Step 5,apparent-only (REAL emphasises group-level conflict repair and power dynamics; CfW emphasises individual compassion.)
F,lt_5_2_band_f,"""I can articulate a clear sense of purpose — what I stand for, what I want to contribute, and why — grounded in my history of engagement, and make deliberate choices about the communities and roles through which I will pursue it beyond school."" (LT 5.2) *(draft — teacher review pending)*",Circle Solutions,"""I can write or speak about the principles or values that will guide my decisions."" (Articulating Guiding Principles) / ""I can write a personal statement setting out my aspirations for being, becoming and contributing."" (Expressing Personal Aspirations)",Year 12 (Band F) v2,high
F,lt_2_2_band_f,"""I can construct a reasoned position on a complex, contested, and high-stakes decision — weighing multiple types of evidence, acknowledging irreducible uncertainty, and making the logic of my choice explicit while remaining open to revision."" (LT 2.2) *(draft — teacher review pending)*",Circle Solutions,"""I can analyze a conflict scenario by identifying what each side wants and generating multiple possible resolutions with pros and cons and a justified preference."" (Analyzing Multiple Conflict Perspectives)",Year 12 (Band F) v2,high
F,lt_5_1_band_f,"""I can communicate effectively across significant difference — cultural, generational, or positional — adjusting my register, tone, and frame without losing my own perspective, and navigating the power dynamics that shape who gets heard."" (LT 5.1) *(draft — teacher review pending)*",Circle Solutions,"""I can work effectively with a group to complete projects and analyze factors that promote successful collaboration."" (Collaborative Project Management)",Year 12 (Band F) v2,apparent-only (CS Year 12 is collaborative group process skills; REAL is cross-cultural communication with significant difference and power navigation. REAL operates at a higher cross-difference register.)
F,lt_4_1_band_f,"""I can facilitate a discussion about consent, power, and boundaries with peers or younger students in a way that is age-appropriate, non-judgmental, and grounded in rights and evidence — including surfacing common myths and correcting them."" (LT 4.1) *(draft — teacher review pending)*",Circle Solutions,"""I can identify what helps resist peer pressure to act according to my own values."" (Resisting Peer Pressure)",Year 12 (Band F) v2,apparent-only (CS frames as values-based peer-pressure resistance; REAL frames as facilitation and consent education with a teaching-out capacity. Related but REAL requires a peer-educator role CS does not.)
F,lt_3_2_band_f,"""I can construct a personal resilience framework — including my non-negotiable self-care commitments, my early-warning signals, and my recovery protocols — and articulate how this framework has developed across my years at school."" (LT 3.2) *(draft — teacher review pending)*",Circle Solutions,"""I can evaluate the usefulness of mindfulness and meditation as resilience strategies."" (Resilience Strategy Knowledge) / ""The student practises using physical, social, and cognitive strategies regularly to maintain emotional resilience."" (Multi-Strategy Emotional Regulation Practice)",Year 12 (Band F) v2,"apparent-only (CS is strategy use and evaluation at habit level; REAL is a designed, articulated personal resilience framework constructed from cumulative experience. Same domain — resilience — but REAL demands metacognitive construction where CS demands habitual practice.)"
F,lt_1_2_band_f,"""I can recognise when structural or systemic factors are shaping someone's experience and adjust my empathic response accordingly, including advocating for a systemic change when individual repair is insufficient."" (LT 1.2) *(draft — teacher review pending)*",Circle Solutions,"""I can identify instances of dehumanization, analyze their contributing factors, and explain their consequences."" (Identifying Dehumanization and Its Effects) / ""I can identify and propose ways to practice shared humanity across individual, community, and social levels."" (Designing Shared Humanity Practices)",Year 12 (Band F) v2,high
F,lt_5_2_band_f,"""I can articulate a clear sense of purpose — what I stand for, what I want to contribute, and why..."" (LT 5.2) *(draft — teacher review pending)*",Circle Solutions,"""I can research social justice issues and create actionable plans to address them."" (Developing Social Justice Action Plans)",Year 12 (Band F) v2,high
F,lt_1_1_band_f,"""I can articulate my personal regulation system — the strategies I rely on, the conditions that disrupt it, and the adaptations I have built over time — and support others in developing their own."" (LT 1.1) *(draft — teacher review pending)*",CASEL SEL,"""I can identify complex emotions and explain how personal and external factors influence emotional responses."" (Analyzing Personal Emotional Patterns) / ""The student maintains a growth mindset about their abilities to succeed and persist through challenges."" (Sustaining Growth-Oriented Self-Perception)",Grade Band 11-12 (Band F),high
F,lt_1_2_band_f,"""I can recognise when structural or systemic factors are shaping someone's experience and adjust my empathic response accordingly..."" (LT 1.2) *(draft — teacher review pending)*",CASEL SEL,"""The student holds a sustained orientation toward empathy and respect when engaging with diverse perspectives and people."" (Empathetic Relating and Respectful Interaction) / ""The student enacts strategies to build inclusive communities and actively contributes to collective well-being."" (Inclusive Community Building and Contribution)",Grade Band 11-12 (Band F),"apparent-only (CASEL is dispositional empathy and community-building orientation; REAL is structural/systemic analysis as a cognitive and communicative act. Related domain, very different epistemic depth.)"
F,lt_2_2_band_f,"""I can construct a reasoned position on a complex, contested, and high-stakes decision — weighing multiple types of evidence, acknowledging irreducible uncertainty, and making the logic of my choice explicit while remaining open to revision."" (LT 2.2) *(draft — teacher review pending)*",CASEL SEL,"""I can apply systematic critical thinking to analyze information and implement appropriate decision-making processes for high-stakes situations."" (Critical Decision-Making Process)",Grade Band 11-12 (Band F),high
F,lt_3_2_band_f,"""I can construct a personal resilience framework — including my non-negotiable self-care commitments, my early-warning signals, and my recovery protocols — and articulate how this framework has developed across my years at school."" (LT 3.2) *(draft — teacher review pending)*",CASEL SEL,"""I can evaluate how thoughts and emotions influence decisions and analyze situations to reframe challenges as growth opportunities."" (Emotional Regulation and Reframing) / ""The student consistently applies coping strategies and calming techniques to process emotions and respond constructively."" (Consistent Stress Response Management)",Grade Band 11-12 (Band F),high
F,lt_5_1_band_f,"""I can communicate effectively across significant difference — cultural, generational, or positional — adjusting my register, tone, and frame without losing my own perspective, and navigating the power dynamics that shape who gets heard."" (LT 5.1) *(draft — teacher review pending)*",CASEL SEL,"""I can establish and maintain positive relationships through effective communication and collaboration strategies."" (Building and Maintaining Relationships) / ""I can resolve conflicts peacefully and apply constructive feedback to strengthen relationships and achieve goals."" (Conflict Resolution and Feedback)",Grade Band 11-12 (Band F),high
F,lt_5_2_band_f,"""I can articulate a clear sense of purpose — what I stand for, what I want to contribute, and why — grounded in my history of engagement, and make deliberate choices about the communities and roles through which I will pursue it beyond school."" (LT 5.2) *(draft — teacher review pending)*",CASEL SEL,"""The student enacts strategies to build inclusive communities and actively contributes to collective well-being."" (Inclusive Community Building and Contribution) / ""I can evaluate factors affecting personal and community well-being and apply appropriate protective strategies."" (Well-Being Impact Evaluation)",Grade Band 11-12 (Band F),apparent-only (CASEL is community orientation and protective action; REAL is personal purpose articulation and contribution legacy. Same domain — civic purpose — different epistemic register.)
F,lt_4_1_band_f,"""I can facilitate a discussion about consent, power, and boundaries with peers or younger students in a way that is age-appropriate, non-judgmental, and grounded in rights and evidence."" (LT 4.1) *(draft — teacher review pending)*",CASEL SEL,"""I can apply systematic critical thinking to analyze information and implement appropriate decision-making processes for high-stakes situations."" (Critical Decision-Making Process)",Grade Band 11-12 (Band F),apparent-only (CASEL is systematic reasoning under high stakes; REAL is teaching-out consent and power to others. Methodological parallel — both address high-stakes reasoning — but REAL requires peer-education capacity CASEL does not.)
F,lt_2_1_band_f,"""I can audit my attentional patterns across high-stakes work over a sustained period, identify the conditions and strategies that most reliably support my best work, and make deliberate adjustments to my workflow to protect them."" (LT 2.1) *(draft — teacher review pending)*",CASEL SEL,"""I can develop, monitor, and adapt goal-oriented plans using available resources and evaluating progress toward achievement."" (Goal Setting and Progress Monitoring)",Grade Band 11-12 (Band F),"apparent-only (CASEL is goal monitoring and resource evaluation; REAL is attentional pattern auditing over sustained periods. Both involve adaptive self-monitoring, but REAL is specifically attentional/metacognitive where CASEL is goal-strategic.)"
