## source_type,england_rshe_secondary
## band_count,1
## age_range_hint,"ages 11-16 (DfE RSHE statutory guidance; secondary phase = Years 7-11, KS3 + KS4; outcomes framed as 'by the end of secondary school')"
## detection_confidence,high
## progression_philosophy,"The DfE RSHE statutory guidance sets outcomes as 'by the end of secondary school' terminal statements. Unlike the National Curriculum, which has Key Stage progression, RSHE uses a single secondary-phase endpoint. Single-band output reflects the guidance's own structure. Per DfE statutory RSHE guidance (England), Children and Social Work Act 2017."
## band_detail | End of Secondary,age_range=ages 11-16,grade_year=Years 7-11 (KS3 and KS4),"Secondary pupils develop the knowledge, values and personal qualities needed to navigate relationships, health and wellbeing across the full secondary phase. Outcomes are framed as terminal goals for all secondary pupils; year-group sequencing is a school decision."

competency_cluster,lt_id,lt_name,lt_definition,knowledge_type,assessment_route,lt_stability,kud_items_covered,prerequisites,end_of_secondary,band_statements_stability,band_gate_status
"cluster_05: Stereotypes, Prejudice, and Power Dynamics",cluster_05_lt_01,Understanding Stereotypes and Power Imbalances,I can explain how stereotypes and power inequalities damage relationships and normalise harmful behaviours.,Type 1,rubric_with_clear_criteria,stable,blk_0036_item_01; blk_0038_item_01; blk_0040_item_01,,I can explain how stereotypes and power imbalances damage relationships and normalise harmful behaviours.,stable,PASS
"cluster_05: Stereotypes, Prejudice, and Power Dynamics",cluster_05_lt_02,Recognising Prejudice and Harmful Influences,I can identify prejudice and analyse how subcultures and media influence sexual attitudes and behaviours.,Type 2,reasoning_quality_rubric,stable,blk_0036_item_02; blk_0042_item_01,,I can identify prejudice and analyse how subcultures and media influence sexual attitudes and behaviours.,stable,PASS
cluster_06: Online Safety and Privacy,cluster_06_lt_01,Protecting Personal Information Online,I can identify appropriate privacy settings and explain when personal information should not be shared online.,Type 1,rubric_with_clear_criteria,stable,blk_0048_item_01; blk_0048_item_02,,I can evaluate privacy settings across platforms and justify decisions about sharing personal information in different online contexts.,stable,PASS
cluster_06: Online Safety and Privacy,cluster_06_lt_02,Evaluating Social Media Content Critically,I can identify potential fake accounts and explain how social media content may be misleading or exaggerated.,Type 1,rubric_with_clear_criteria,stable,blk_0050_item_01; blk_0050_item_02; blk_0050_item_03,,I can evaluate social media content for authenticity and explain how posts may mislead through manipulation or exaggeration.,band_statements_unstable,PASS
cluster_06: Online Safety and Privacy,cluster_06_lt_03,Maintaining Appropriate Online Behaviour,I can explain how behavioural expectations apply consistently across online and offline contexts.,Type 1,rubric_with_clear_criteria,stable,blk_0046_item_01,,I can explain how behavioural expectations apply consistently across online and offline contexts.,stable,PASS
cluster_07: Sharing Images and Legal Consequences,cluster_07_lt_01,Understanding Legal Risks of Image Sharing,I can explain the legal consequences and serious risks of sharing intimate images online.,Type 1,rubric_with_clear_criteria,stable,blk_0052_item_01; blk_0052_item_02; blk_0054_item_01; blk_0054_item_02; blk_0054_item_04,,I can explain the legal consequences and serious risks of sharing intimate images online.,stable,PASS
cluster_07: Sharing Images and Legal Consequences,cluster_07_lt_02,Responding to Image Sharing Concerns,I can determine appropriate actions and reporting procedures when concerned about circulated material.,Type 2,reasoning_quality_rubric,stable,blk_0054_item_03; blk_0056_item_01,,I can evaluate situations involving shared images and determine appropriate reporting actions and support procedures.,stable,PASS
cluster_07: Sharing Images and Legal Consequences,cluster_07_lt_03,Practising Responsible Image Sharing,The student practises restraint in sharing personal material and refuses to distribute intimate content received from others.,Type 3,multi_informant_observation,stable,blk_0052_item_03,Understanding Legal Risks of Image Sharing,,,N/A (Type 3)
"cluster_08: Deepfakes, Harmful Content, and Online Harms",cluster_08_lt_01,Identifying Deepfakes and Harmful Content,I can identify deepfakes and recognise various forms of harmful online content including illegal material and distorted representations.,Type 2,reasoning_quality_rubric,stable,blk_0058_item_04; blk_0060_item_01; blk_0065_item_01,,I can identify deepfakes and recognise harmful online content including illegal material and distorted representations.,band_statements_unstable,PASS
"cluster_08: Deepfakes, Harmful Content, and Online Harms",cluster_08_lt_02,Understanding Technology Misuse and Harms,I can explain how deepfakes and online content can be misused maliciously and the various harms they can cause to individuals and society.,Type 1,rubric_with_clear_criteria,stable,blk_0058_item_01; blk_0058_item_02; blk_0058_item_03; blk_0061_item_02; blk_0068_item_01,,I can explain how deepfakes and malicious online content cause harm to individuals and society.,band_statements_unstable,PASS
"cluster_08: Deepfakes, Harmful Content, and Online Harms",cluster_08_lt_03,Seeking Support for Online Concerns,I can identify appropriate sources of advice and support when encountering concerning online content or experiences.,Type 1,rubric_with_clear_criteria,stable,blk_0061_item_01,,I can identify and access appropriate sources of support when encountering harmful or concerning online content.,stable,PASS
"cluster_09: Online Scams, Data Privacy, and Emerging Technology Risks",cluster_09_lt_01,Recognising Online Scams and Privacy Risks,"I can identify online scams, data sharing practices, and emerging technology risks.",Type 1,rubric_with_clear_criteria,stable,blk_0071_item_01; blk_0073_item_01; blk_0073_item_02; blk_0075_item_01,,"I can identify online scams, evaluate data sharing practices, and assess risks from emerging technologies.",stable,PASS
"cluster_09: Online Scams, Data Privacy, and Emerging Technology Risks",cluster_09_lt_02,Evaluating and Responding to Digital Threats,I can critically evaluate new technologies for risks and respond appropriately to scams or exploitation.,Type 2,reasoning_quality_rubric,stable,blk_0073_item_03; blk_0073_item_04; blk_0075_item_02,,I can evaluate emerging digital technologies for potential risks and implement appropriate protective responses to online threats.,band_statements_unstable,PASS
"cluster_10: Consent, Boundaries, and Pressure in Relationships",cluster_10_lt_01,Communicating Consent and Boundaries,"I can recognise, respect and communicate consent and boundaries in relationships including romantic and sexual contexts.",Type 2,reasoning_quality_rubric,stable,blk_0079_item_01,,I can communicate clear boundaries and obtain explicit consent in romantic and sexual relationships.,stable,PASS
"cluster_10: Consent, Boundaries, and Pressure in Relationships",cluster_10_lt_02,Managing Relationship Pressure,I can identify and resist pressure from others while avoiding putting pressure on others in relationships.,Type 2,reasoning_quality_rubric,stable,blk_0081_item_01; blk_0081_item_02,,I can identify pressure tactics in relationships and apply strategies to resist unwanted pressure while respecting others' boundaries.,stable,PASS
"cluster_10: Consent, Boundaries, and Pressure in Relationships",cluster_10_lt_03,Understanding Care Beyond Consent,I can explain that kindness and care for others requires more than just consent.,Type 1,rubric_with_clear_criteria,stable,blk_0079_item_02,,"I can explain how genuine care in relationships involves empathy, respect, and consideration beyond basic consent.",stable,PASS
cluster_11: Personal Safety and Recognising Unsafe Relationships,cluster_11_lt_01,Assessing Trustworthiness and Relationship Safety,I can evaluate whether people and relationships are trustworthy and safe using appropriate reasoning strategies.,Type 2,reasoning_quality_rubric,stable,blk_0083_item_01; blk_0085_item_03; blk_0085_item_04,,I can evaluate whether people and relationships are trustworthy and safe using evidence-based reasoning strategies.,stable,PASS
cluster_11: Personal Safety and Recognising Unsafe Relationships,cluster_11_lt_02,Seeking Help and Reporting Concerns,I can identify appropriate ways to seek help and report concerns about harmful behaviour when needed.,Type 1,rubric_with_clear_criteria,stable,blk_0083_item_02; blk_0085_item_01; blk_0085_item_02,,I can identify appropriate sources of help and confidently report concerns about harmful behaviour when necessary.,stable,PASS
cluster_11: Personal Safety and Recognising Unsafe Relationships,cluster_11_lt_03,Trusting Personal Instincts,The student trusts their instincts and responds appropriately when something doesn't feel right.,Type 3,multi_informant_observation,stable,blk_0085_item_05,Assessing Trustworthiness and Relationship Safety,,,N/A (Type 3)
"cluster_12: Sexual Harassment, Violence, and Abuse",cluster_12_lt_01,Defining Sexual Harassment and Violence,"I can identify and describe different forms of sexual harassment, sexual violence, and exploitative behaviors including their legal definitions.",Type 1,rubric_with_clear_criteria,stable,blk_0089_item_01; blk_0092_item_01; blk_0098_item_01,,"I can identify and describe different forms of sexual harassment, sexual violence, and exploitative behaviors including their legal definitions.",stable,PASS
"cluster_12: Sexual Harassment, Violence, and Abuse",cluster_12_lt_02,Understanding Domestic Abuse Laws and Impact,"I can explain domestic abuse concepts, relevant legislation including the Domestic Abuse Act 2021, and the impact on victims including children.",Type 1,rubric_with_clear_criteria,stable,blk_0094_item_01; blk_0102_item_01; blk_0102_item_02; blk_0087_item_01,,"I can explain domestic abuse concepts, relevant legislation, and the impact on victims including children.",stable,PASS
cluster_13: Harmful Practices and Physical Harms,cluster_13_lt_01,Legal Framework for Harmful Practices,"I can identify the legal status and requirements regarding FGM, strangulation, and related harmful practices.",Type 1,rubric_with_clear_criteria,stable,blk_0104_item_01; blk_0106_item_01,,"I can identify the legal status and requirements regarding FGM, strangulation, and related harmful practices.",stable,PASS
cluster_13: Harmful Practices and Physical Harms,cluster_13_lt_02,Physical Dangers and Health Risks,I can describe the serious physical dangers associated with strangulation and harmful practices depicted in pornography.,Type 1,rubric_with_clear_criteria,stable,blk_0107_item_01; blk_0109_item_01,,I can describe the serious physical dangers and health risks associated with strangulation and harmful practices depicted in pornography.,band_statements_unstable,PASS
cluster_13: Harmful Practices and Physical Harms,cluster_13_lt_03,Support Seeking for Harmful Behaviors,I can identify appropriate sources of support and reporting mechanisms for harmful or abusive behaviors.,Type 1,rubric_with_clear_criteria,stable,blk_0111_item_01,,I can identify appropriate sources of support and reporting mechanisms for harmful or abusive behaviors.,stable,PASS
cluster_14: Healthy Sexual Relationships and Consent,cluster_14_lt_01,Understanding Positive Sexual Experiences,I can explain that sex can be positive and enjoyable for consenting adults while recognizing that intimate relationships can exist without sex.,Type 1,rubric_with_clear_criteria,stable,blk_0115_item_01; blk_0117_item_01,,I can explain that sexual experiences can be positive and enjoyable for consenting adults while recognizing intimate relationships may exist without sex.,band_statements_unstable,PASS
cluster_14: Healthy Sexual Relationships and Consent,cluster_14_lt_02,Understanding Consent and Ethical Considerations,"I can describe how sexual consent can be given, withheld or removed at any time and identify considerations people might take into account before sexual activity.",Type 1,rubric_with_clear_criteria,stable,blk_0119_item_01; blk_0119_item_02; blk_0119_item_03,,I can explain how consent operates in sexual relationships and analyse ethical considerations that inform responsible decision-making.,stable,PASS
cluster_14: Healthy Sexual Relationships and Consent,cluster_14_lt_03,Understanding Health Impacts of Sexual Choices,I can explain how choices in sex and relationships can positively or negatively affect all aspects of health and wellbeing.,Type 1,rubric_with_clear_criteria,stable,blk_0121_item_01,,"I can explain how sexual and relationship choices impact physical, emotional, and social health and wellbeing.",stable,PASS
"cluster_15: Contraception, Pregnancy Options, and Sexual Health",cluster_15_lt_01,Sexual Health Knowledge and Prevention,"I can describe contraceptive options, pregnancy choices, STI prevention methods, and testing importance.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0124_item_01; blk_0126_item_01; blk_0128_item_01; blk_0129_item_01; blk_0129_item_02; blk_0129_item_03; blk_0131_item_01,,"I can describe contraceptive methods, pregnancy options, STI prevention strategies, and explain the importance of regular testing.",band_statements_unstable,PASS
"cluster_15: Contraception, Pregnancy Options, and Sexual Health",cluster_15_lt_02,Sexual Health Service Navigation,"I can identify where to access sexual health services, support, and medically accurate information.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0134_item_01; blk_0136_item_01,,I can identify appropriate sexual health services and access points for confidential support and medically accurate information.,stable,PASS
"cluster_15: Contraception, Pregnancy Options, and Sexual Health",cluster_15_lt_03,Sexual Health Information Evaluation,I can evaluate and signpost others toward reliable sexual health information for decision-making.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0124_item_02,,I can evaluate the reliability of sexual health information sources and signpost others to appropriate resources.,stable,PASS
cluster_16: Emotional Wellbeing and Mental Health Literacy,cluster_16_lt_01,Articulating Emotions and Feelings,I can describe my emotions accurately using appropriate vocabulary and explain what influences my wellbeing.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0142_item_01; blk_0146_item_01,,I can articulate my emotions using precise vocabulary and analyse factors that influence my mental wellbeing.,stable,PASS
cluster_16: Emotional Wellbeing and Mental Health Literacy,cluster_16_lt_02,Distinguishing Normal Feelings from Mental Health Conditions,I can identify the difference between normal emotional experiences and mental health conditions.,Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0148_item_01; blk_0150_item_01; blk_0150_item_02; blk_0146_item_02,,I can distinguish between normal emotional responses and symptoms that may indicate mental health conditions.,stable,PASS
cluster_16: Emotional Wellbeing and Mental Health Literacy,cluster_16_lt_03,Recognising Wellbeing Enhancement Strategies,"I can explain how participation, kindness, and overcoming barriers to activities contribute to mental wellbeing.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0144_item_01; blk_0153_item_01,,"I can explain how participation, kindness, and overcoming activity barriers enhance mental wellbeing.",stable,PASS
"cluster_17: Substances, Gambling, and Mental Health",cluster_17_lt_01,Gambling Mental Health Impacts,I can identify how gambling affects mental health and which gambling products pose greater risks.,Type 1,rubric_with_clear_criteria,stable,blk_0155_item_01,,I can explain how gambling affects mental health and identify which gambling products carry higher risks.,stable,PASS
"cluster_17: Substances, Gambling, and Mental Health",cluster_17_lt_02,Substance Use Mental Health Relationships,I can explain the bidirectional relationship between substance use and mental health problems.,Type 1,rubric_with_clear_criteria,stable,blk_0157_item_01; blk_0157_item_02,,I can explain how substance use and mental health problems can influence and worsen each other.,stable,PASS
cluster_18: Online Wellbeing and Digital Literacy,cluster_18_lt_01,Understanding Digital Wellbeing Risks,"I can explain the risks of excessive screen time, harmful online content, and digital behaviors on mental and physical wellbeing.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0161_item_01; blk_0163_item_01; blk_0163_item_02; blk_0163_item_03; blk_0167_item_01; blk_0169_item_01; blk_0169_item_03; blk_0171_item_01; blk_0173_item_01,,I can explain how excessive screen time and harmful digital behaviors impact mental and physical wellbeing.,stable,PASS
cluster_18: Online Wellbeing and Digital Literacy,cluster_18_lt_02,Evaluating Online Information Critically,I can assess the reliability and intent of online information to identify misinformation and targeted content.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0169_item_02,,"I can evaluate online information sources to identify misinformation, bias, and targeted content that may influence my decisions.",stable,PASS
cluster_18: Online Wellbeing and Digital Literacy,cluster_18_lt_03,Seeking Support for Online Harms,I can identify appropriate reporting mechanisms and support services when encountering harmful online content or behaviors.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0165_item_01; blk_0173_item_02; blk_0173_item_03,,I can evaluate and access appropriate reporting mechanisms and support services for various online harms.,stable,PASS
"cluster_19: Diet, Physical Health, and Disease Prevention",cluster_19_lt_01,Identifying Diet-Health Risk Connections,"I can identify the links between poor dietary choices and specific health risks including tooth decay, unhealthy weight gain, and cardiovascular disease.",Type 1,rubric_with_clear_criteria,stable,blk_0183_item_01,,"I can identify specific connections between poor dietary choices and health risks including tooth decay, weight gain, and cardiovascular disease.",stable,PASS
"cluster_19: Diet, Physical Health, and Disease Prevention",cluster_19_lt_02,Recognizing Weight-Related Disease Risks,"I can recognize that unhealthy weight gain increases risks of cancer, type 2 diabetes, and cardiovascular disease.",Type 1,rubric_with_clear_criteria,stable,blk_0185_item_01,,"I can explain how unhealthy weight gain increases risks of cancer, type 2 diabetes, and cardiovascular disease.",stable,PASS
"cluster_20: Drugs, Alcohol, Tobacco, and Vaping",cluster_20_lt_01,Identifying Substance Risks and Legal Status,"I can identify the health risks, legal status, and safety concerns associated with illegal drugs, alcohol, tobacco, and vaping.",Type 1,rubric_with_clear_criteria,stable,blk_0190_item_01; blk_0193_item_01; blk_0198_item_01; blk_0200_item_01,,"I can identify the health risks, legal classifications, and safety concerns of illegal drugs, alcohol, tobacco, and vaping products.",band_statements_unstable,PASS
"cluster_20: Drugs, Alcohol, Tobacco, and Vaping",cluster_20_lt_02,Applying Harm Reduction Strategies,"I can describe strategies to reduce personal harm and increase safety when encountering alcohol, tobacco, and substance use situations.",Type 1,rubric_with_clear_criteria,stable,blk_0193_item_02; blk_0195_item_01; blk_0198_item_01,,"I can evaluate and apply harm reduction strategies to protect myself and others in alcohol, tobacco, and substance use situations.",band_statements_unstable,PASS
"cluster_21: Infection Prevention, Dental Health, and Screening",cluster_21_lt_01,Understanding Infection Prevention and Treatment,"I can explain treatment and prevention of infections, antibiotics, vaccination, immunisation and antimicrobial resistance.",Type 1,rubric_with_clear_criteria,stable,blk_0204_item_01; blk_0212_item_01,,"I can explain how infections spread, how antibiotics and vaccines work, and why antimicrobial resistance develops.",stable,PASS
"cluster_21: Infection Prevention, Dental Health, and Screening",cluster_21_lt_02,Understanding Health Maintenance Practices,"I can describe dental health practices, oral hygiene benefits, and the importance of regular self-examination and screening.",Type 1,rubric_with_clear_criteria,stable,blk_0206_item_01; blk_0210_item_01,,"I can explain dental hygiene practices, oral health benefits, and the importance of regular health screening and self-examination.",stable,PASS
"cluster_22: Sleep, Reproductive Health, and Accessing Healthcare",cluster_22_lt_01,Understanding Sleep Hygiene and Health Impacts,I can explain sleep hygiene practices and how sleep affects physical and mental wellbeing.,Type 1,rubric_with_clear_criteria,stable,blk_0214_item_01; blk_0214_item_02,,I can explain how sleep hygiene practices impact physical and mental health outcomes.,stable,PASS
"cluster_22: Sleep, Reproductive Health, and Accessing Healthcare",cluster_22_lt_02,Understanding Reproductive Health Fundamentals,I can describe key aspects of reproductive health including pre-conception care and pregnancy support.,Type 1,rubric_with_clear_criteria,stable,blk_0216_item_01; blk_0216_item_02; blk_0216_item_03,,I can describe key aspects of reproductive health including pre-conception care and pregnancy support.,stable,PASS
"cluster_22: Sleep, Reproductive Health, and Accessing Healthcare",cluster_22_lt_03,Navigating Healthcare Systems and Consent,I can identify appropriate healthcare services and explain medical consent principles for different age groups.,Type 1,rubric_with_clear_criteria,stable,blk_0218_item_01; blk_0220_item_01; blk_0221_item_01,,I can identify appropriate healthcare services and explain medical consent principles for different age groups.,stable,PASS
"cluster_23: Personal Safety, Risk Management, and Peer Influence",cluster_23_lt_01,Managing Personal Safety Risks,I can identify and manage personal safety risks in independent situations across different environments.,Type 2,reasoning_quality_rubric,stable,blk_0225_item_01,,I can evaluate personal safety risks and implement appropriate strategies to manage them across diverse environments.,stable,PASS
"cluster_23: Personal Safety, Risk Management, and Peer Influence",cluster_23_lt_02,Responding to Peer Influence and Conflict,I can recognise and respond appropriately to peer influence and conflict situations.,Type 2,reasoning_quality_rubric,stable,blk_0227_item_01; blk_0229_item_01; blk_0229_item_02,,I can evaluate peer influence situations and apply appropriate strategies to manage conflict and maintain personal boundaries.,stable,PASS
"cluster_24: Weapons, Exploitation, and Seeking Help",cluster_24_lt_01,Understanding Weapon Misconceptions,I can explain how misconceptions about weapon prevalence lead to false beliefs about needing protection.,Type 1,rubric_with_clear_criteria,stable,blk_0233_item_01; blk_0233_item_02,,I can explain how misconceptions about weapon prevalence create false beliefs about personal safety needs.,stable,PASS
"cluster_24: Weapons, Exploitation, and Seeking Help",cluster_24_lt_02,Seeking Help for Exploitation Concerns,I can identify appropriate sources of help when concerned about grooming or exploitation.,Type 2,reasoning_quality_rubric,stable,blk_0235_item_01,,I can identify appropriate sources of help when concerned about grooming or exploitation.,stable,PASS
cluster_25: Menstrual and Reproductive Health,cluster_25_lt_01,Identifying Menstrual Health Conditions,I can identify common menstrual health conditions and their characteristics.,Type 1,rubric_with_clear_criteria,stable,blk_0245_item_01,,I can identify common menstrual health conditions and describe their key characteristics and symptoms.,stable,PASS
cluster_25: Menstrual and Reproductive Health,cluster_25_lt_02,Determining Healthcare Support Needs,I can determine when to seek healthcare support for menstrual and reproductive health concerns.,Type 1,rubric_with_clear_criteria,stable,blk_0245_item_02,,I can identify when menstrual or reproductive health symptoms require professional medical consultation and support.,stable,PASS
cluster_25: Menstrual and Reproductive Health,cluster_25_lt_03,Understanding Reproductive Health Factors,"I can explain fertility, menopause, and lifestyle impacts on reproductive health.",Type 1,rubric_with_clear_criteria,stable,blk_0247_item_01,,"I can explain how fertility, menopause, and lifestyle factors influence reproductive health outcomes.",stable,PASS
cluster_26: First Aid and Emergency Response,cluster_26_lt_01,Recognizing Emergency Situations,I can identify when CPR or basic first aid is needed in emergency situations.,Type 1,rubric_with_clear_criteria,stable,blk_0248_item_01,,I can identify emergency situations requiring CPR or basic first aid intervention.,stable,PASS
cluster_26: First Aid and Emergency Response,cluster_26_lt_02,Performing Emergency Response Procedures,I can demonstrate proper CPR techniques and basic first aid procedures.,Type 1,rubric_with_clear_criteria,stable,blk_0248_item_01,,I can demonstrate proper CPR techniques and basic first aid procedures in emergency situations.,stable,PASS
