competency_cluster,lt_id,lt_name,knowledge_type,stability,gate_passed,gate_failures,competent_framing_flag,competent_framing_judge_rationale,propositional_thin_flag,no_evidence,emerging,developing,competent,extending,prerequisite_edges,diagnostic
cluster_09: Recognising Online Abuse and Exploitation,cluster_09_lt_01,Identifying Technology-Enabled Abuse,Type 2,rubric_unstable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently recognises' and 'determines appropriate support responses accurately' without any hedging language or positioning as incomplete.,False,No attempt to identify technology-enabled abuse.,"With support, identifies some obvious forms of technology-enabled abuse but misses subtle patterns.",Independently recognises clear technology-enabled abuse but struggles with complex or emerging forms of abuse.,"Independently recognises technology-enabled bullying, harassment, stalking, and coercive control and determines appropriate support responses accurately.",Recognises sophisticated technology-enabled abuse patterns and evaluates multiple support response options considering victim safety.,cluster_04_lt_01 [ontological_prerequisite/high] Must understand bullying concepts before recognising technology-enabled bullying.; cluster_14_lt_01 [ontological_prerequisite/high] Must understand coercive control concepts before recognising technology-enabled coercive control.; cluster_12_lt_02 [ontological_prerequisite/medium] Must know help-seeking options before determining appropriate support responses.,
cluster_09: Recognising Online Abuse and Exploitation,cluster_09_lt_02,Understanding Distorted Online Content,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to address pornography's distorted content.,"With support, identifies some problems with pornography but explanations are inaccurate or incomplete.",Independently identifies distorted aspects of pornography but explanations lack depth or miss key influences.,Independently explains how pornography presents distorted pictures of people and sexual behaviours that negatively influence attitudes and relationships.,Transfers understanding to analyse how other distorted online content similarly influences attitudes and behaviours.,cluster_08_lt_02 [pedagogical_sequencing/medium] Understanding harmful online content generally helps before focusing specifically on pornography's distortions.; cluster_02_lt_01 [ontological_prerequisite/high] Must understand healthy relationship characteristics to recognise how pornography distorts them.,
"cluster_10: Online Privacy, Scams and Emerging Technology Risks",cluster_10_lt_01,Understanding Digital Privacy and Scam Risks,Type 1,stable,PASS,,pass,The descriptor directly states the learner explains and identifies the required concepts without hedging language or positioning it as incomplete.,True,No attempt to explain data collection or identify scams.,"With support, names some data collection methods or scam features but explanations are inaccurate.",Explains basic data collection practices and identifies obvious scam characteristics but misses subtle indicators.,Explains how personal data is collected and shared online and identifies key characteristics of online scams including sextortion.,Analyses complex data sharing networks and identifies sophisticated scam techniques across emerging technologies.,cluster_06_lt_01 [pedagogical_sequencing/high] Understanding privacy settings provides foundation for understanding broader data collection practices.; cluster_06_lt_02 [pedagogical_sequencing/medium] Identifying fake content helps develop skills for recognising deceptive scam characteristics.,
"cluster_10: Online Privacy, Scams and Emerging Technology Risks",cluster_10_lt_02,Evaluating and Responding to Online Threats,Type 2,rubric_unstable,FAIL,observable_verb; single_construct; competent_framing_regex,pass,The descriptor clearly states the learner 'independently identifies' and 'determines appropriate responses' which demonstrates full capability without hedging language or positioning as incomplete.,False,No attempt to identify online threats or responses.,"With support, recognises some obvious scams but struggles to determine appropriate responses.",Independently identifies common online threats but shows gaps in evaluating response strategies.,Independently identifies online scams and emerging technology risks and determines appropriate support-seeking responses for different situations.,Transfers threat evaluation skills to novel contexts and advises others on response strategies.,cluster_10_lt_01 [ontological_prerequisite/high] Cannot evaluate scam responses without understanding what scams are.; cluster_12_lt_02 [pedagogical_sequencing/medium] General help-seeking skills typically established before specific threat responses.,
cluster_11: Consent and Boundaries in Relationships,cluster_11_lt_02,Managing Relationship Pressure,Type 2,stable,FAIL,observable_verb,pass,The descriptor declares the capability as fully demonstrated with 'independently' and 'consistently' indicating complete mastery of the learning target.,False,No attempt to identify or respond to relationship pressure.,"With support, recognises some pressure but struggles to identify appropriate responses.",Identifies relationship pressure in familiar situations but inconsistently applies resistance strategies.,Independently identifies and resists pressure in relationships while consistently avoiding putting pressure on others.,Transfers pressure management skills across diverse relationship contexts and supports others effectively.,cluster_11_lt_01 [ontological_prerequisite/high] Cannot manage relationship pressure without understanding consent and boundaries.; cluster_02_lt_01 [pedagogical_sequencing/medium] Understanding healthy relationship foundations helps identify when pressure violates relationship principles.; cluster_03_lt_02 [pedagogical_sequencing/medium] Respectful communication skills support resisting and avoiding pressure appropriately.,
cluster_11: Consent and Boundaries in Relationships,cluster_11_lt_03,Understanding Care Beyond Consent,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated by stating the learner 'explains' the concept fully, without hedging language or positioning it as incomplete.",False,No attempt to explain care beyond consent.,"With support, identifies that relationships involve more than consent but explanations are unclear.",Explains that kindness matters in relationships but struggles to articulate how it extends beyond consent.,"Explains how kindness and care for others requires consideration of emotional wellbeing, respect, and thoughtfulness beyond basic consent.",Integrates care concepts with broader relationship ethics and applies understanding to complex interpersonal scenarios.,cluster_11_lt_01 [ontological_prerequisite/high] Understanding consent is necessary before explaining what goes beyond it.; cluster_02_lt_01 [pedagogical_sequencing/medium] Basic healthy relationship foundations typically precede advanced care concepts.,
cluster_12: Assessing Trustworthiness and Personal Safety,cluster_12_lt_01,Evaluating Trustworthiness and Safety,Type 2,rubric_unstable,FAIL,observable_verb,pass,"The descriptor declares the capability as fully demonstrated independently with appropriate reasoning strategies across various contexts, standing alone as evidence the learning target is met.",False,No attempt to assess trustworthiness or safety.,"With support, identifies some obvious safety concerns but reasoning is incomplete or inaccurate.",Independently recognises clear trustworthiness indicators but struggles with complex or ambiguous situations requiring deeper reasoning.,Independently assesses whether people and situations are trustworthy and safe using appropriate reasoning strategies across various contexts.,Transfers trustworthiness assessment skills to novel contexts and helps others develop similar reasoning capabilities.,cluster_02_lt_02 [pedagogical_sequencing/medium] Understanding relationship safety provides foundation for broader trustworthiness assessment skills.; cluster_09_lt_01 [pedagogical_sequencing/medium] Recognising technology-enabled abuse develops specific assessment skills applicable to general trustworthiness evaluation.; cluster_10_lt_02 [pedagogical_sequencing/medium] Evaluating online threats builds reasoning strategies transferable to assessing trustworthiness in various contexts.,
cluster_12: Assessing Trustworthiness and Personal Safety,cluster_12_lt_02,Seeking Help and Reporting Concerns,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently and can stand alone as evidence that the learning target is met.,False,No attempt to identify help-seeking or reporting methods.,"With support, names some help sources but shows confusion about appropriate reporting.",Identifies basic help sources independently but struggles with matching sources to specific safety concerns.,Independently identifies appropriate help sources and reporting procedures that match different types of safety risks and concerns.,Evaluates multiple help-seeking options and adapts reporting strategies based on context and urgency.,cluster_12_lt_01 [ontological_prerequisite/high] Cannot seek appropriate help without first assessing whether situations are unsafe.,
cluster_13: Understanding Sexual Harassment and Violence,cluster_13_lt_02,Understanding Victim Responsibility,Type 1,rubric_unstable,FAIL,observable_verb; single_construct,pass,The descriptor clearly states the learner independently demonstrates the exact capability defined in the learning target without hedging or positioning it as incomplete.,True,No attempt to address victim responsibility.,"With support, states that victims are not responsible but reasoning is unclear.",Independently states that victims are not responsible but struggles to explain why.,Independently explains that sexual harassment and violence are never the fault of the victim.,Explains victim non-responsibility and addresses common victim-blaming myths or misconceptions.,cluster_13_lt_01 [ontological_prerequisite/high] Must understand what constitutes sexual harassment and violence before explaining victim responsibility.,
cluster_14: Recognising Domestic Abuse and Exploitation,cluster_14_lt_01,Identifying Domestic Abuse Concepts and Laws,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to identify domestic abuse concepts or laws.,"With support, names some domestic abuse terms but demonstrates inaccurate understanding.",Identifies basic domestic abuse concepts but struggles with legal frameworks or controlling behaviours.,"Independently identifies key domestic abuse concepts including controlling behaviour, coercive control, and relevant legal frameworks.",Connects domestic abuse concepts to broader legal protections and distinguishes between different abuse types.,cluster_02_lt_01 [pedagogical_sequencing/high] Understanding healthy relationships provides essential foundation for recognising unhealthy patterns.; cluster_03_lt_01 [pedagogical_sequencing/medium] Legal rights knowledge supports understanding domestic abuse legal frameworks.; cluster_05_lt_01 [pedagogical_sequencing/medium] Power imbalance concepts underpin understanding of controlling and coercive behaviours.,
cluster_14: Recognising Domestic Abuse and Exploitation,cluster_14_lt_02,Identifying Exploitation Concepts and Laws,Type 1,rubric_unstable,PASS,,pass,The descriptor clearly states the learner independently and accurately demonstrates the capability without hedging language or positioning it as incomplete.,False,No attempt to identify exploitation concepts or laws.,"With support, names some exploitation types but confuses concepts or legal frameworks.",Independently identifies basic exploitation forms but struggles with legal framework distinctions or complex concepts.,"Independently identifies key concepts and legal frameworks relating to sexual, criminal, and financial exploitation accurately.",Applies exploitation knowledge to analyse complex scenarios or connects frameworks across different contexts.,cluster_14_lt_01 [pedagogical_sequencing/high] Understanding domestic abuse concepts provides foundation for broader exploitation understanding.; cluster_13_lt_01 [pedagogical_sequencing/medium] Sexual harassment knowledge helps distinguish different forms of exploitation.,
cluster_15: Understanding Harmful Practices and Physical Harms,cluster_15_lt_01,Identifying Illegal Harmful Practices,Type 1,stable,PASS,,pass,"The descriptor clearly states the learner independently and accurately identifies the required practices, demonstrating complete mastery of the learning target.",True,No attempt to identify illegal harmful practices.,"With support, names some harmful practices but confuses legal status or specifics.",Independently identifies some illegal harmful practices but misses key examples or details.,"Independently identifies illegal harmful practices including FGM, strangulation, and dangerous pressure activities accurately.",Identifies illegal harmful practices and explains their legal classifications or connects to broader harm patterns.,cluster_13_lt_01 [pedagogical_sequencing/medium] Understanding sexual harassment and violence provides foundational knowledge about identifying harmful behaviours.; cluster_14_lt_01 [pedagogical_sequencing/medium] Understanding domestic abuse concepts establishes familiarity with legal frameworks for identifying harmful practices.,
cluster_15: Understanding Harmful Practices and Physical Harms,cluster_15_lt_02,Understanding Pornography's Harmful Normalisation,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently and can stand alone as evidence that the learning target is met.,False,No attempt to address pornography's harmful normalisation.,"With support, identifies some harmful aspects but explanations are incomplete or inaccurate.",Independently identifies harmful activities in pornography but explanations of normalisation processes lack depth or clarity.,Independently explains how pornography normalises emotionally and physically harmful activities through distorted representations and repeated exposure.,Analyses multiple mechanisms by which pornography normalises harm and connects to broader cultural impacts.,cluster_09_lt_02 [ontological_prerequisite/high] Understanding distorted online content is essential for explaining pornography's normalisation mechanisms.; cluster_08_lt_02 [pedagogical_sequencing/medium] General understanding of harmful online content typically precedes specific pornography analysis.,
cluster_15: Understanding Harmful Practices and Physical Harms,cluster_15_lt_03,Accessing Support for Harmful Behaviours,Type 1,rubric_unstable,FAIL,single_construct,pass,The descriptor directly states the learner can describe and identify the required elements without hedging language or positioning it as incomplete.,False,No attempt to describe support-seeking for harmful behaviours.,"With support, identifies some help sources but provides incomplete or inaccurate descriptions.",Describes some support options for harmful behaviours but misses key reporting procedures or sources.,Describes how to seek support for worrying or abusive behaviour and identifies where to report abuse.,Explains support-seeking strategies and evaluates effectiveness of different reporting pathways for various situations.,cluster_15_lt_01 [ontological_prerequisite/high] Must identify harmful practices before knowing how to seek support for them.; cluster_12_lt_02 [pedagogical_sequencing/medium] General help-seeking skills typically established before specific harmful behaviour support.,
cluster_16: Healthy Sexual Relationships and Decision-Making,cluster_16_lt_01,Understanding Sexual Consent and Considerations,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently and can stand alone as evidence that the learning target is met.,False,No attempt to explain consent or identify considerations.,"With support, identifies basic consent concepts but explanations are incomplete or inaccurate.",Explains consent basics independently but misses key factors people consider before sexual activity.,Explains how sexual consent works and independently identifies multiple factors people consider before sexual activity.,Applies consent understanding to complex scenarios and evaluates nuanced decision-making factors comprehensively.,cluster_02_lt_01 [ontological_prerequisite/high] Understanding healthy relationship foundations including consent is essential before explaining how sexual consent specifically works.; cluster_11_lt_01 [pedagogical_sequencing/medium] Recognising and communicating consent generally provides foundation for understanding sexual consent specifically.,
cluster_16: Healthy Sexual Relationships and Decision-Making,cluster_16_lt_02,Recognising Positive Sexual Relationships and Alternatives,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated accurately and independently, standing alone as evidence that the learning target is met.",False,No attempt to describe positive sexual relationships or alternatives.,"With support, identifies some relationship features but provides incomplete or inaccurate descriptions.",Describes basic positive relationship features but struggles to explain alternatives without sex clearly.,Describes how sexual relationships can be positive and explains relationship options without sex accurately and independently.,Compares multiple relationship models and evaluates how different approaches meet diverse individual needs.,cluster_02_lt_01 [ontological_prerequisite/high] Understanding healthy relationship foundations is essential before describing positive sexual relationships.; cluster_16_lt_01 [pedagogical_sequencing/medium] Understanding sexual consent typically precedes learning about positive sexual relationships.,
cluster_16: Healthy Sexual Relationships and Decision-Making,cluster_16_lt_03,Understanding Kindness and Health in Relationships,Type 1,rubric_unstable,FAIL,observable_verb,pass,The descriptor declares the capability as demonstrated independently without hedging language or positioning it as incomplete.,False,No attempt to explain kindness or health impacts.,"With support, identifies basic relationship concepts but confuses kindness with consent.",Explains that kindness differs from consent but struggles to analyse health impacts clearly.,Explains how kindness extends beyond consent and analyses health impacts of relationship choices independently.,Transfers understanding to complex scenarios and integrates multiple relationship health factors fluently.,cluster_02_lt_01 [ontological_prerequisite/high] Must understand healthy relationship foundations including consent before explaining how kindness extends beyond it.; cluster_11_lt_03 [ontological_prerequisite/high] Must understand that care requires more than consent before analysing how kindness extends beyond consent.; cluster_16_lt_01 [pedagogical_sequencing/medium] Understanding sexual consent provides foundation for analysing relationship choices and their health impacts.,
"cluster_17: Contraception, Pregnancy and Sexual Health",cluster_17_lt_01,Sexual Health Knowledge and Prevention,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to describe sexual health information.,"With support, names some contraceptive or STI prevention methods with inaccuracies.",Independently describes some contraceptive options and STI prevention methods but with gaps.,"Accurately describes contraceptive options, pregnancy choices, STI prevention methods, and treatment facts independently.",Describes sexual health information and explains connections between different prevention strategies.,cluster_16_lt_01 [pedagogical_sequencing/medium] Understanding sexual consent typically precedes learning about contraception and sexual health prevention.,
"cluster_17: Contraception, Pregnancy and Sexual Health",cluster_17_lt_02,Accessing Sexual Health Support,Type 1,rubric_unstable,PASS,,pass,The descriptor clearly states the learner can independently and accurately perform the target capability without hedging language or positioning it as incomplete.,True,No attempt to identify sexual health services.,"With support, names some sexual health services but lacks detail about access.",Identifies some sexual health services independently but misses key access information or confidentiality aspects.,"Independently identifies where to access confidential sexual health advice, treatment, and support services accurately.",Identifies comprehensive sexual health services and explains access barriers or alternative pathways.,cluster_17_lt_01 [pedagogical_sequencing/medium] Understanding sexual health basics helps inform what services might be needed.; cluster_12_lt_02 [pedagogical_sequencing/medium] General help-seeking skills provide foundation for accessing specific sexual health support.,
"cluster_17: Contraception, Pregnancy and Sexual Health",cluster_17_lt_03,Sexual Health Information Guidance,Type 2,rubric_unstable,FAIL,observable_verb,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to signpost sexual health information sources.,"With support, identifies some sexual health websites but accuracy is questionable.",Independently identifies basic sexual health information sources but lacks evaluation of accuracy.,Independently signposts others toward medically accurate online sexual health information sources to support decision-making.,Evaluates and recommends multiple accurate sources while explaining their specific strengths for different situations.,"cluster_17_lt_01 [ontological_prerequisite/high] Cannot signpost accurate sexual health information without understanding contraception, STI prevention, and treatment facts.; cluster_17_lt_02 [pedagogical_sequencing/medium] Knowing where to access sexual health services helps identify credible information sources.",
