competency_cluster,lt_id,lt_name,stability,coconstruction_stages,coconstruction_student_prompts,coconstruction_anchor_examples_guidance,student_rubric_no_evidence,student_rubric_emerging,student_rubric_developing,student_rubric_competent,student_rubric_extending,student_rubric_self_checks,feedback_moves_no_evidence,feedback_moves_emerging,feedback_moves_developing,feedback_moves_competent
"cluster_08: Deepfakes, Harmful Content, and Online Harms",cluster_08_lt_03,Seeking Support for Online Concerns,stable,Students share experiences of feeling unsure or worried online without naming specific incidents.; Class brainstorms who they might turn to when something online feels wrong or scary.; Students categorize different types of online concerns and match them to appropriate support sources.; Class creates criteria for what makes a support source trustworthy and accessible.,When have you felt confused or uncomfortable about something you saw online?; Who are the trusted adults or resources you could talk to about online problems?; What makes someone a good person to ask for help with online issues?,Choose scenarios that represent common online concerns students face while avoiding graphic details or triggering content.,I have not yet identified any sources of support for online concerns.,I can name some people who might help with online problems but my choices may not always be the best ones.,I can identify several appropriate people or resources to help with online concerns but sometimes miss important options.,I can identify appropriate sources of advice and support when encountering concerning online content or experiences.,I can apply my support-seeking skills to new online situations and help others find appropriate support.,Can I name at least three different trusted sources I could turn to for help with online problems?; Do I know when to choose different types of support for different online concerns?,Guide student to think of one trusted adult they could talk to about problems.; Provide a simple list of school or community support resources to review together.,Help student evaluate why certain support choices might be more helpful than others.; Practice matching different types of online concerns to appropriate support sources.,Encourage student to consider additional support options they may have overlooked.; Discuss when different contexts might require different types of support.,Challenge student to consider how their support-seeking approach might work in unfamiliar online situations.; Invite student to help a peer think through their own support options.
"cluster_09: Online Scams, Data Privacy, and Emerging Technology Risks",cluster_09_lt_02,Evaluating and Responding to Digital Threats,supporting_unstable,Students share experiences with suspicious messages or apps they've encountered.; Class brainstorms what makes something seem trustworthy or risky online.; Students examine examples of scams and new technologies to identify warning signs.; Groups create criteria for evaluating digital threats at different skill levels.; Class refines criteria into a shared rubric for threat evaluation.,What red flags help you spot something suspicious online?; How do you decide if a new app or website is safe to use?; What would you tell a friend who received a suspicious message?; How might someone who's really good at this help others stay safe?,"Choose examples that show clear progression from obvious scams to subtle threats, including both familiar and emerging technologies that students can relate to.",I have not yet attempted to evaluate digital threats or scams.,I can identify obvious scams with help but struggle to evaluate new technology risks.,I can recognise common scams and basic technology risks but miss subtle threats.,I can evaluate new technologies for risks and respond appropriately to various scams.,I can anticipate risks in unfamiliar technologies and help others respond to threats.,Can I explain why something online seems risky or safe?; Would I know how to respond if I encountered a new type of scam?,Start by examining one clear example of an obvious scam together.; Practice identifying one simple warning sign in digital messages.,Compare obvious scams with more subtle ones to build pattern recognition.; Introduce basic questions for evaluating new apps or websites.,Analyze examples where initial impressions might be misleading.; Practice applying evaluation criteria to unfamiliar technologies or platforms.,Challenge thinking with novel scenarios that require transferring known principles.; Encourage explaining threat evaluation strategies to help others learn.
"cluster_10: Consent, Boundaries, and Pressure in Relationships",cluster_10_lt_02,Managing Relationship Pressure,supporting_unstable,Students share experiences of feeling pressured in relationships without naming specific people; Class brainstorms what pressure looks like and feels like in different relationship contexts; Students discuss what healthy responses to pressure might look like; Groups identify what it means to avoid putting pressure on others; Class agrees on criteria for recognising and managing relationship pressure effectively,When have you felt like someone wanted you to do something you weren't sure about?; What are the signs that someone might be feeling pressured by us?; How can we respond when we feel pressured while still maintaining good relationships?; What does it look like when someone handles pressure really well?,Choose scenarios that represent common relationship pressures students face while ensuring examples show clear differences between recognising obvious versus subtle pressure.,I have not yet shown that I can identify or respond to relationship pressure,I can recognise some pressure with help but my responses are not always appropriate,I can identify clear pressure situations on my own but struggle with subtle pressure or knowing how to respond,I can identify and resist different types of relationship pressure while avoiding pressuring others,I can use pressure management skills in new situations and help others recognise relationship pressure,Can I tell when someone is trying to pressure me and respond appropriately?; Do I avoid putting pressure on others in my relationships?,Help student identify one clear example of relationship pressure from their experience; Practice recognising pressure signals through role-play scenarios,Guide student to evaluate whether their response maintained the relationship appropriately; Provide sentence starters for declining pressure respectfully,Present scenarios with subtle pressure and ask student to identify the pressure signals; Practice multiple response strategies for complex pressure situations,Challenge student to apply their skills in unfamiliar relationship contexts; Ask student to coach a peer through a pressure situation
"cluster_10: Consent, Boundaries, and Pressure in Relationships",cluster_10_lt_03,Understanding Care Beyond Consent,supporting_unstable,Begin by asking students what they think 'consent' means in relationships and friendships.; Guide students to brainstorm what else might be important in caring relationships beyond just saying 'yes' or 'no'.; Have students discuss scenarios where consent exists but additional care considerations matter.; Support students in organizing their ideas into levels of understanding about care beyond consent.,What does it mean to truly care for someone in a relationship or friendship?; Can you think of a time when someone had permission to do something but it still wasn't the kindest choice?; What other things should we consider besides just getting consent when we want to care for others?,Choose examples that show clear distinctions between basic consent and deeper care considerations like emotional wellbeing and respect.,I have not yet attempted to explain care beyond consent.,I can identify that relationships involve more than consent with support.,I can explain that care involves more than consent with some reasoning.,"I can explain that kindness and care requires considering feelings, wellbeing, and respect beyond basic consent.",I can explain care beyond consent and connect this principle to broader ethical relationship frameworks.,Can I explain what care looks like beyond just getting permission?; Have I included examples of how feelings and wellbeing matter in caring relationships?,Provide sentence starters about what care means in relationships.; Ask the student to think about how they like to be treated by friends.,Help the student identify specific examples of care beyond permission.; Guide them to explain their thinking more clearly with prompting questions.,Encourage the student to provide more detailed reasoning for their examples.; Ask them to consider multiple aspects of care like feelings and wellbeing.,Challenge the student to connect their understanding to broader relationship principles.; Ask them to consider how this applies across different types of relationships.
cluster_11: Personal Safety and Recognising Unsafe Relationships,cluster_11_lt_01,Assessing Trustworthiness and Relationship Safety,supporting_unstable,Students share what makes them feel safe or unsafe with people.; Class identifies patterns in trustworthy versus untrustworthy behaviors.; Students discuss how to recognize warning signs in different relationship types.; Groups create reasoning strategies for evaluating safety in complex situations.; Class refines criteria for helping others recognize safety indicators.,What behaviors make you trust someone more or less?; How do you know when a relationship feels safe?; What would you look for in a tricky situation where you're not sure about someone?; How could you help a friend recognize if someone might not be trustworthy?,"Choose examples that show clear progression from obvious red flags to subtle warning signs across different relationship contexts like friendships, online interactions, and authority figures.",I have not yet shown that I can evaluate whether people and relationships are trustworthy and safe.,I can identify some obvious safety concerns with help but my reasoning needs work.,I can recognize clear safety issues on my own but struggle with subtle warning signs or complex situations.,I can evaluate trustworthiness and relationship safety using good reasoning strategies across different relationship contexts.,I can apply my evaluation skills to new situations and help others recognize trustworthiness and safety indicators.,Can I explain my reasoning for why I think someone is or isn't trustworthy?; Would I be able to help a friend recognize warning signs in their relationships?,Guide student to identify one obvious safety concern in a clear example.; Ask student to describe what makes them feel safe with someone they trust.,Help student practice explaining their reasoning for safety concerns.; Provide structured questions to guide their evaluation process.,Point out subtle warning signs the student missed in practice scenarios.; Challenge student with more complex relationship situations to analyze.,Present novel contexts for the student to apply their evaluation skills.; Ask student to coach a peer through recognizing safety indicators.
cluster_11: Personal Safety and Recognising Unsafe Relationships,cluster_11_lt_02,Seeking Help and Reporting Concerns,stable,Brainstorm situations where students might need help or need to report harmful behaviour; Identify different types of help sources available in various contexts; Match appropriate help sources to specific harmful situations; Discuss when and how to escalate concerns through proper reporting procedures,What situations might require you to seek help or report something harmful?; Who are the trusted adults or resources you could turn to in different settings?; How do you decide which help source is most appropriate for a specific situation?,Select examples that show clear distinctions between informal help-seeking and formal reporting procedures across different severity levels of harmful behaviour.,I have not yet identified ways to seek help or report concerns about harmful behaviour,I can name some people who might help me but need support understanding when and how to report concerns,I can identify basic help sources but sometimes struggle to choose the right response for specific harmful situations,I can identify appropriate ways to seek help and report concerns about harmful behaviour when needed,I can apply help-seeking knowledge to new situations and help others understand appropriate reporting procedures,Can I identify who to contact for different types of harmful situations?; Do I understand the difference between seeking help and making formal reports?,Provide concrete examples of help-seeking situations students might encounter; Introduce basic vocabulary around help sources and reporting procedures,Guide students to distinguish between different types of help sources; Practice matching help sources to specific situations with scaffolding,Provide scenarios to practice selecting appropriate responses to harmful behaviour; Discuss criteria for choosing between informal help and formal reporting,Present novel or complex situations requiring help-seeking decisions; Encourage students to explain their reasoning to support others' learning
"cluster_12: Sexual Harassment, Violence, and Abuse",cluster_12_lt_01,Defining Sexual Harassment and Violence,supporting_unstable,Introduce the learning target and discuss why clear definitions matter for safety and legal understanding.; Guide students to brainstorm different forms of harmful behaviors they may have heard about.; Facilitate research into legal definitions and help students organize behaviors into categories.; Support students in refining language to match legal terminology and identifying key distinguishing features.; Review the complete rubric levels and have students suggest anchor examples for each level.,What behaviors have you heard described as harassment or violence and why might legal definitions be important?; How can we organize these behaviors into clear categories that match legal frameworks?; What specific language do legal definitions use and how does this differ from everyday language?; What would it look like to apply these definitions to real situations?,Select scenarios that clearly demonstrate each level of definitional accuracy and legal understanding without graphic content.,I have not yet attempted to identify sexual harassment or violence.,I can name some forms with support but my definitions are incomplete or inaccurate.,I can independently identify basic forms but struggle with legal definitions or exploitative behaviors.,"I can independently identify and describe different forms of sexual harassment, sexual violence, and exploitative behaviors including their legal definitions.",I can apply definitions to analyze complex scenarios or connect legal frameworks across different contexts.,Can I accurately define each form using legal terminology?; Am I able to distinguish between different types of harmful behaviors and explain why the distinctions matter?,Provide basic vocabulary and definitions to begin building understanding.; Offer structured templates or graphic organizers to support initial identification attempts.,Guide students to reliable legal sources to verify and correct their definitions.; Provide specific feedback on which parts of their definitions need refinement.,Direct students to legal resources that clarify exploitative behaviors and formal definitions.; Help students practice distinguishing between similar concepts using clear examples.,Challenge students to apply their knowledge to analyze multi-layered scenarios.; Encourage exploration of how these definitions vary across different legal jurisdictions.
"cluster_12: Sexual Harassment, Violence, and Abuse",cluster_12_lt_02,Understanding Domestic Abuse Laws and Impact,supporting_unstable,"Students brainstorm what they already know about domestic abuse and share initial understanding.; Teacher introduces the Domestic Abuse Act 2021 and students identify key provisions together.; Students discuss different types of victim impact and create categories.; Class collaboratively builds success criteria for explaining concepts, legislation, and impacts.; Students test the rubric against sample explanations and refine level descriptions.",What does domestic abuse mean to you and what forms might it take?; What should good legislation include to protect victims?; How might domestic abuse affect different people in different ways?; What would make an explanation of these topics really clear and complete?,Select student explanations that clearly show progression from basic concept identification to detailed legislative knowledge to comprehensive impact analysis.,I have not yet attempted to explain domestic abuse concepts or legislation.,I can identify some domestic abuse concepts with support but my explanations need more accuracy.,I can explain basic domestic abuse concepts and mention relevant legislation but need more detail on victim impact.,"I can explain domestic abuse concepts, describe the Domestic Abuse Act 2021 provisions, and identify impacts on victims including children.",I can connect domestic abuse legislation to broader legal frameworks and analyse complex victim impact scenarios.,Have I explained what domestic abuse is and included the key legal provisions?; Have I clearly described how domestic abuse affects victims including children?,Provide a simple definition of domestic abuse and ask students to explain it in their own words.; Show a basic overview of the Domestic Abuse Act 2021 and ask what protection it might offer.,Help students check their understanding against official definitions and correct any misconceptions.; Guide students to be more specific about which aspects of domestic abuse they are describing.,Prompt students to research specific provisions of the Domestic Abuse Act 2021 and add these details.; Ask students to consider how domestic abuse specifically affects children and other family members.,Challenge students to research how domestic abuse legislation connects to other areas of law.; Encourage students to analyse more complex scenarios involving multiple types of victim impact.
cluster_13: Harmful Practices and Physical Harms,cluster_13_lt_01,Legal Framework for Harmful Practices,supporting_unstable,Introduce the learning target and discuss why understanding legal frameworks matters; Brainstorm what makes legal information accurate versus inaccurate; Explore what 'legal status and requirements' means in practice; Define what constitutes independent work versus needing support; Discuss how legal knowledge applies to complex real-world scenarios,What does it mean for something to be legally required or prohibited?; How can we tell if legal information is accurate and complete?; What would it look like to apply legal knowledge to a complicated situation?,"Select examples that clearly show the difference between accurate and inaccurate legal information, and include scenarios that demonstrate varying levels of independence in identifying legal requirements.",I have not yet attempted to identify legal requirements for harmful practices.,I can name some harmful practices with support but my legal information contains inaccuracies.,I can independently identify some harmful practices and their legal status with minor gaps.,"I can independently and accurately identify the legal status and requirements for FGM, strangulation, and related harmful practices.",I can apply my legal knowledge to analyse complex scenarios involving multiple harmful practices.,Can I accurately state what the law requires regarding these harmful practices?; Am I working independently or do I need support to identify legal information?,Provide structured prompts to help identify one specific harmful practice; Offer a simple legal framework template to begin with,Check accuracy of legal information against reliable sources; Reduce support gradually while maintaining focus on one practice at a time,Point out specific gaps in legal knowledge to address; Encourage verification of legal information using multiple sources,Present complex scenarios involving multiple harmful practices; Challenge to explain how different legal requirements interact
cluster_13: Harmful Practices and Physical Harms,cluster_13_lt_02,Physical Dangers and Health Risks,supporting_unstable,Introduce the learning target and explain why understanding physical dangers is important for health and safety.; Guide students to brainstorm what they already know about physical harm and safety risks.; Facilitate discussion about different levels of understanding from basic awareness to detailed knowledge.; Work together to define what complete and accurate descriptions of serious dangers would include.; Collaborate to establish criteria for extending understanding beyond basic descriptions.,What does it mean to accurately describe a physical danger?; How would you know if someone truly understands the serious health consequences of harmful practices?; What would make a description more complete and detailed?; How might someone demonstrate deeper understanding beyond just describing dangers?,Select examples that clearly show progression from incomplete awareness to detailed understanding of serious health consequences and physiological impacts.,I have not yet attempted to describe physical dangers.,I can identify some dangers with help but my descriptions need more accuracy.,I can identify physical dangers on my own but need to include more details about serious health consequences.,I can independently describe the serious physical dangers associated with strangulation and harmful practices depicted in pornography.,I can describe dangers and explain how they affect the body or connect to broader health implications.,Have I included specific details about serious health consequences?; Can I explain my understanding without needing help or prompts?,Provide guided questions about basic safety and physical harm concepts.; Offer structured prompts to help identify one specific danger.,Help clarify misconceptions through targeted questions about specific dangers.; Provide resources or examples to support more accurate descriptions.,Ask probing questions about the serious health consequences of identified dangers.; Guide toward including specific details about physical impacts and risks.,Encourage exploration of physiological mechanisms behind the dangers.; Prompt connections between specific dangers and broader health implications.
cluster_14: Healthy Sexual Relationships and Consent,cluster_14_lt_03,Understanding Health Impacts of Sexual Choices,supporting_unstable,Brainstorm what health means beyond just physical health; Discuss how relationships and sexual choices might connect to different types of health; Sort examples into positive and negative impacts across health dimensions; Refine understanding of comprehensive health impacts,What are all the different ways someone can be healthy or unhealthy?; How might choices in relationships affect each type of health we identified?; Can you think of examples where one choice might have both positive and negative impacts?,"Choose examples that clearly demonstrate different levels of connection-making between sexual choices and multiple health dimensions, avoiding overly explicit content while maintaining educational relevance.",I have not yet attempted to explain how sexual choices affect health,I can identify some health impacts with help but my explanations need more detail,I can explain some health impacts of sexual choices but miss important connections,I can explain how choices in sex and relationships positively or negatively affect all aspects of health and wellbeing,I can analyze complex scenarios and connect multiple health dimensions comprehensively,"Have I considered physical, mental, emotional, and social health impacts?; Can I explain both positive and negative effects of different choices?",Provide sentence starters connecting choices to health outcomes; Use guided questions to help identify one simple health impact,Ask clarifying questions to deepen incomplete explanations; Provide examples to model more accurate connections,Prompt consideration of missed health dimensions; Guide reflection on overlooked positive or negative impacts,Challenge with complex scenarios requiring deeper analysis; Encourage integration of multiple health dimensions simultaneously
